,ame,Long,Lat,Ele,Time,geometry,X,Y
367,10002270,32.69393205,-117.227217,-35.175,17:24:57,POINT (478701.32708220964 3617379.7147615543),478701.3271,3617379.715
368,10002271,32.69392618,-117.2272179,-35.15,17:24:58,POINT (478701.24132661696 3617379.0642228),478701.2413,3617379.064
369,10002272,32.6939205,-117.2272184,-35.116,17:24:59,POINT (478701.19311108073 3617378.4346662886),478701.1931,3617378.435
370,10002273,32.69391522,-117.2272198,-35.135,17:25:00,POINT (478701.060626591 3617377.849632298),478701.0606,3617377.85
371,10002274,32.69391012,-117.2272215,-35.135,17:25:01,POINT (478700.90006350266 3617377.2846123865),478700.9001,3617377.285
372,10002275,32.69390486,-117.2272219,-35.143,17:25:02,POINT (478700.8613212789 3617376.7015949534),478700.8613,3617376.702
373,10002276,32.69389949,-117.2272221,-35.139,17:25:03,POINT (478700.8413004767 3617376.1063433527),478700.8413,3617376.106
374,10002277,32.69389435,-117.2272232,-35.157,17:25:04,POINT (478700.7369704063 3617375.5367689137),478700.737,3617375.537
375,10002278,32.69388966,-117.2272234,-35.147,17:25:05,POINT (478700.71711083164 3617375.01689876),478700.7171,3617375.017
376,10002279,32.69388602,-117.2272229,-35.176,17:25:07,POINT (478700.763116529 3617374.6132860417),478700.7631,3617374.613
377,10002280,32.69388189,-117.2272215,-35.136,17:25:07,POINT (478700.89336986234 3617374.155173849),478700.8934,3617374.155
378,10002281,32.69387597,-117.2272204,-35.173,17:25:08,POINT (478700.9950775097 3617373.4986912515),478700.9951,3617373.499
379,10002282,32.6938692,-117.2272187,-35.166,17:25:09,POINT (478701.15282618126 3617372.7478615227),478701.1528,3617372.748
380,10002283,32.69386283,-117.2272181,-35.174,17:25:10,POINT (478701.20755836245 3617372.041594422),478701.2076,3617372.042
381,10002284,32.69385639,-117.2272182,-35.148,17:25:11,POINT (478701.19665763364 3617371.32770785),478701.1967,3617371.328
382,10002285,32.69385042,-117.2272184,-35.148,17:25:12,POINT (478701.17649458157 3617370.6659432133),478701.1765,3617370.666
383,10002286,32.69384498,-117.2272201,-35.16,17:25:13,POINT (478701.0158507696 3617370.0632325835),478701.0159,3617370.063
384,10002287,32.69383977,-117.2272226,-35.144,17:25:14,POINT (478700.78027137904 3617369.48617906),478700.7803,3617369.486
385,10002288,32.69383403,-117.2272258,-35.161,17:25:15,POINT (478700.47894995054 3617368.8505127435),478700.4789,3617368.851
386,10002289,32.69382801,-117.2272297,-35.186,17:25:16,POINT (478700.1119457486 3617368.1839474067),478700.1119,3617368.184
387,10002290,32.69382181,-117.2272327,-35.161,17:25:17,POINT (478699.8292626916 3617367.4972476703),478699.8293,3617367.497
388,10002291,32.69381533,-117.2272334,-35.157,17:25:18,POINT (478699.762109788 3617366.779047236),478699.7621,3617366.779
389,10002292,32.6938089,-117.2272355,-35.169,17:25:19,POINT (478699.56373601576 3617366.066670341),478699.5637,3617366.067
390,10002293,32.69380301,-117.2272353,-35.126,17:25:20,POINT (478699.5810868804 3617365.413693894),478699.5811,3617365.414
391,10002294,32.69379706,-117.227234,-35.156,17:25:21,POINT (478699.7015349565 3617364.753845528),478699.7015,3617364.754
392,10002295,32.69379066,-117.2272329,-35.187,17:25:22,POINT (478699.8031288057 3617364.0441524964),478699.8031,3617364.044
393,10002296,32.69378457,-117.2272328,-35.22,17:25:23,POINT (478699.8110585007 3617363.369025094),478699.8111,3617363.369
394,10002297,32.69377839,-117.2272324,-35.157,17:25:24,POINT (478699.8470881616 3617362.6838605697),478699.8471,3617362.684
395,10002298,32.69377164,-117.2272309,-35.144,17:25:25,POINT (478699.98609413026 3617361.935288048),478699.9861,3617361.935
396,10002299,32.69376555,-117.2272312,-35.165,17:25:26,POINT (478699.9565287597 3617361.260240871),478699.9565,3617361.26
397,10002300,32.69375954,-117.2272321,-35.151,17:25:27,POINT (478699.8707397332 3617360.5941824345),478699.8707,3617360.594
398,10002301,32.69375299,-117.2272336,-35.155,17:25:28,POINT (478699.7285800235 3617359.8683825983),478699.7286,3617359.868
399,10002302,32.69374672,-117.2272355,-35.173,17:25:29,POINT (478699.54899159836 3617359.173702407),478699.549,3617359.174
400,10002303,32.69374033,-117.2272377,-35.158,17:25:30,POINT (478699.3412533781 3617358.4657797804),478699.3413,3617358.466
401,10002304,32.69373402,-117.2272396,-35.172,17:25:31,POINT (478699.16165541887 3617357.7666653977),478699.1617,3617357.767
402,10002305,32.69372803,-117.2272417,-35.177,17:25:32,POINT (478698.96338576823 3617357.1030647494),478698.9634,3617357.103
403,10002306,32.69372184,-117.2272444,-35.159,17:25:33,POINT (478698.7088260179 3617356.417413434),478698.7088,3617356.417
404,10002307,32.69371608,-117.2272438,-35.109,17:25:34,POINT (478698.7637027767 3617355.7787679257),478698.7637,3617355.779
405,10002308,32.69370993,-117.2272438,-35.139,17:25:35,POINT (478698.76224440866 3617355.0970092826),478698.7622,3617355.097
406,10002309,32.69370399,-117.2272443,-35.106,17:25:36,POINT (478698.7139669599 3617354.4386304896),478698.714,3617354.439
407,10002310,32.69369805,-117.2272428,-35.066,17:25:37,POINT (478698.85316503956 3617353.779850561),478698.8532,3617353.78
408,10002311,32.69369193,-117.227242,-35.109,17:25:38,POINT (478698.926704015 3617353.1012571207),478698.9267,3617353.101
409,10002312,32.69368598,-117.2272415,-35.082,17:25:39,POINT (478698.97216197604 3617352.4415692105),478698.9722,3617352.442
410,10002313,32.69367973,-117.227239,-35.107,17:25:40,POINT (478699.2050243807 3617351.748223656),478699.205,3617351.748
411,10002314,32.69367326,-117.2272387,-35.132,17:25:41,POINT (478699.23161150445 3617351.0309312274),478699.2316,3617351.031
412,10002315,32.69366642,-117.2272396,-35.092,17:25:42,POINT (478699.14562553057 3617350.272863104),478699.1456,3617350.273
413,10002316,32.69365961,-117.2272409,-35.062,17:25:43,POINT (478699.02215153613 3617349.518200859),478699.0222,3617349.518
414,10002317,32.69365265,-117.2272425,-35.176,17:25:44,POINT (478698.87052060524 3617348.7469705273),478698.8705,3617348.747
415,10002318,32.69364681,-117.2272449,-35.083,17:25:45,POINT (478698.64416498435 3617348.1000583237),478698.6442,3617348.1
416,10002319,32.69364058,-117.227248,-35.103,17:25:46,POINT (478698.35210037115 3617347.41005305),478698.3521,3617347.41
417,10002320,32.69363459,-117.2272493,-35.047,17:25:47,POINT (478698.22882073565 3617346.7462919685),478698.2288,3617346.746
418,10002321,32.69362796,-117.2272509,-35.129,17:25:48,POINT (478698.07726796146 3617346.0116438223),478698.0773,3617346.012
419,10002322,32.69362143,-117.2272519,-34.998,17:25:49,POINT (478697.98198158754 3617345.28796084),478697.982,3617345.288
420,10002323,32.69361533,-117.2272487,-35.053,17:25:50,POINT (478698.2804961682 3617344.6111031263),478698.2805,3617344.611
421,10002324,32.69360894,-117.2272489,-35.071,17:25:51,POINT (478698.2602332861 3617343.902779395),478698.2602,3617343.903
