label,x,y,z,buried
16 13,478702.511957548,3617381.096069084,0,0
17 1,478700.1119970531,3617361.0931233205,0,0
17 2,478700.53424484294,3617362.5324658104,0,0
17 3,478700.9564926328,3617363.971808301,0,0
17 4,478701.3787404226,3617365.4111507908,0,0
17 5,478701.80098821246,3617366.850493281,0,0
17 6,478702.2232360023,3617368.289835771,0,0
17 7,478702.6454837921,3617369.7291782615,0,0
17 8,478703.067731582,3617371.1685207514,0,0
17 9,478703.4899793718,3617372.607863242,0,0
17 10,478703.91222716164,3617374.0472057317,0,0
17 11,478704.3344749515,3617375.486548222,0,0
17 12,478704.7567227413,3617376.925890712,0,0
17 13,478705.17897053115,3617378.3652332025,0,0
18 1,478699.73401231365,3617359.6833659923,0,0
18 2,478700.1632465489,3617361.120640486,0,0
18 3,478700.59248078417,3617362.55791498,0,0
18 4,478701.0217150194,3617363.9951894744,0,0
18 5,478701.4509492547,3617365.432463968,0,0
18 6,478701.88018348994,3617366.8697384624,0,0
18 7,478702.30941772525,3617368.3070129566,0,0
18 8,478702.7386519605,3617369.7442874503,0,0
18 9,478703.16788619576,3617371.1815619445,0,0
18 10,478703.597120431,3617372.6188364387,0,0
18 11,478704.0263546663,3617374.0561109325,0,0
18 12,478704.45558890153,3617375.4933854267,0,0
18 13,478704.8848231368,3617376.930659921,0,0
19 1,478698.7680988164,3617357.778995163,0,0
19 2,478698.77139792865,3617359.278991535,0,0
19 3,478698.77469704096,3617360.7789879064,0,0
19 4,478698.7779961532,3617362.2789842784,0,0
19 5,478698.78129526554,3617363.7789806505,0,0
19 6,478698.7845943778,3617365.2789770225,0,0
19 7,478698.7878934901,3617366.7789733945,0,0
19 8,478698.79119260237,3617368.278969766,0,0
19 9,478698.7944917147,3617369.778966138,0,0
19 10,478698.79779082694,3617371.27896251,0,0
19 11,478698.8010899392,3617372.778958882,0,0
19 12,478698.8043890515,3617374.2789552542,0,0
19 13,478698.80768816377,3617375.7789516263,0,0
20 1,478699.1273377932,3617352.48217812,0,0
20 2,478699.4373411381,3617351.0145617104,0,0
20 3,478699.747344483,3617349.5469453004,0,0
