x,y,label,Z,emiRho (mS/m)
478703.9574075083,3617354.3910970963,8 13,-0.625,0.5710193268515553
478701.2381286559,3617374.0417669867,9 1,-2.125,2.4861413706043716
478701.26102514775,3617375.541592227,9 2,-1.25,0.6717971359664637
478701.2839216396,3617377.0414174665,9 3,-1.875,1.20227311948197
478701.3068181315,3617378.5412427066,9 4,-1.0,0.5695293183486456
478701.3297146234,3617380.0410679467,9 5,-0.875,0.631236784536024
478701.35261111526,3617381.540893187,9 6,-0.875,0.6405458051724191
478701.3755076071,3617383.040718427,9 7,-1.625,0.7673568225994035
478701.398404099,3617384.540543667,9 8,-0.75,0.576442800377749
478701.4213005909,3617386.040368907,9 9,-0.75,0.510448720357449
478701.4441970828,3617387.540194147,9 10,-2.0,2.418894010873775
478701.46709357464,3617389.040019387,9 11,-0.625,0.4605762441576282
478701.4899900665,3617390.539844627,9 12,-1.5,0.6789290521635446
478701.5128865584,3617392.039669867,9 13,-0.375,0.579573957631403
478701.6912268279,3617372.598629373,10 1,-2.125,2.4861413706043716
478702.0772719488,3617374.048101403,10 2,-2.125,2.4861413706043716
478702.46331706975,3617375.497573432,10 3,-1.25,0.6717971359664637
478702.84936219064,3617376.9470454617,10 4,-1.875,1.20227311948197
478703.2354073116,3617378.3965174914,10 5,-1.625,2.292013816942994
478703.6214524325,3617379.845989521,10 6,-1.0,0.5695293183486456
478704.0074975534,3617381.295461551,10 7,-0.875,0.6405458051724191
478704.3935426743,3617382.74493358,10 8,-1.625,0.7673568225994035
478704.77958779526,3617384.1944056097,10 9,-0.75,0.576442800377749
478705.16563291615,3617385.6438776394,10 10,-0.75,0.510448720357449
478705.55167803704,3617387.093349669,10 11,-2.0,2.418894010873775
478705.937723158,3617388.542821699,10 12,-0.625,0.4605762441576282
478706.3237682789,3617389.9922937285,10 13,-1.125,0.5069088358817844
478701.6378912425,3617371.29280305,11 1,-1.25,0.5727880276475185
478702.2810846744,3617372.647905337,11 2,-2.125,2.4861413706043716
478702.92427810625,3617374.0030076248,11 3,-2.125,2.4861413706043716
478703.56747153815,3617375.358109912,11 4,-1.25,0.6717971359664637
478704.21066497004,3617376.713212199,11 5,-1.875,1.20227311948197
478704.85385840194,3617378.0683144866,11 6,-1.625,2.292013816942994
478705.4970518338,3617379.423416774,11 7,-1.0,0.5695293183486456
478706.1402452657,3617380.7785190614,11 8,-0.875,0.6405458051724191
478706.7834386976,3617382.1336213485,11 9,-0.875,0.6405458051724191
478707.42663212947,3617383.488723636,11 10,-0.75,0.576442800377749
478708.06982556137,3617384.8438259233,11 11,-0.75,0.510448720357449
478708.7130189932,3617386.198928211,11 12,-2.0,2.418894010873775
478709.3562124251,3617387.554030498,11 13,-0.625,0.4605762441576282
478700.01567212655,3617369.488297424,12 1,-1.0,0.5021688793622173
478700.1554512215,3617370.9817704917,12 2,-1.25,0.5727880276475185
478700.29523031646,3617372.4752435596,12 3,-2.125,2.4861413706043716
478700.4350094114,3617373.9687166275,12 4,-2.125,2.4861413706043716
478700.5747885063,3617375.462189696,12 5,-1.25,0.6717971359664637
