Z_bin,param,elm_id,region,cellType,X,Y,Z,Resistivity(ohm.m),Resistivity(log10),Sensitivity(log10),Scaled_Sensitivity(log10),Conductivity(mS/m),eX,eY,source,eX_index,filtered_row_index,x,y
-4.1000000000000005,775.0,775.0,1.0,5.0,9.19391,0.0,-4.138573333333333,1.11743,0.04822,-2.07927,-0.40671,894.9106431722793,7,12,1,0,1,478702.4758994618,3617371.6096149646
-4.0,365.0,365.0,1.0,5.0,8.895116666666667,0.0,-3.989410000000001,1.10764,0.0444,-1.79463,-0.1586,902.8204109638511,7,12,1,0,1,478702.4758994618,3617371.6096149646
-3.7,277.0,277.0,1.0,5.0,8.884423333333334,0.0,-3.6516866666666665,1.06791,0.02854,-1.81008,-0.12706,936.4084988435355,7,12,1,0,1,478702.4758994618,3617371.6096149646
-3.5,368.0,368.0,1.0,5.0,9.163756666666666,0.0,-3.4778766666666665,1.0424,0.01803,-1.61432,0.12854,959.3246354566386,7,12,1,0,1,478702.4758994618,3617371.6096149646
-3.2,279.0,279.0,1.0,5.0,9.13874,0.0,-3.1630900000000004,1.00491,0.00213,-1.63842,0.16076,995.1139903075898,7,12,1,0,1,478702.4758994618,3617371.6096149646
-3.0,216.0,216.0,1.0,5.0,8.858866666666666,0.0,-3.01786,0.99733,-0.00116,-1.44751,0.41687,1002.6771479851202,7,12,1,0,1,478702.4758994618,3617371.6096149646
-2.7,177.0,177.0,1.0,5.0,8.836256666666666,0.0,-2.719716666666667,0.95754,-0.01884,-1.45231,0.45137,1044.3427950790567,7,12,1,0,1,478702.4758994618,3617371.6096149646
-2.6,412.0,412.0,1.0,5.0,9.05371,0.0,-2.5550633333333335,0.92012,-0.03615,-1.27943,0.72026,1086.8147632917444,7,12,1,0,1,478702.4758994618,3617371.6096149646
-2.3000000000000003,774.0,774.0,1.0,5.0,9.022946666666666,0.0,-2.2714333333333334,0.88981,-0.0507,-1.39205,0.74251,1123.835425540284,7,12,1,0,1,478702.4758994618,3617371.6096149646
-1.8,371.0,371.0,1.0,5.0,9.002766666666666,0.0,-1.7545733333333333,0.81996,-0.08621,-0.91753,1.26383,1219.571686423728,7,12,1,0,1,478702.4758994618,3617371.6096149646
-1.5,280.0,280.0,1.0,5.0,8.994416666666666,0.0,-1.5098099999999999,0.7894,-0.1027,-0.94264,1.29958,1266.784899923993,7,12,1,0,1,478702.4758994618,3617371.6096149646
-1.4000000000000001,184.0,184.0,1.0,5.0,9.19985,0.0,-1.3845266666666667,0.74354,-0.12869,-0.7795,1.47887,1344.9175565537832,7,12,1,0,1,478702.4758994618,3617371.6096149646
-1.2000000000000002,141.0,141.0,1.0,5.0,9.178973333333333,0.0,-1.1519566666666667,0.70949,-0.14906,-0.76724,1.52337,1409.4631354916912,7,12,1,0,1,478702.4758994618,3617371.6096149646
-1.0,374.0,374.0,1.0,5.0,8.971686666666665,0.0,-1.0246899999999999,0.72415,-0.14017,-0.53771,1.79045,1380.9293654629566,7,12,1,0,1,478702.4758994618,3617371.6096149646
-0.8,185.0,185.0,1.0,5.0,8.978303333333335,0.0,-0.7987566666666667,0.70033,-0.1547,-0.62737,1.85766,1427.8982765267801,7,12,1,0,1,478702.4758994618,3617371.6096149646
-0.7000000000000001,236.0,236.0,1.0,5.0,9.008883333333333,0.0,-0.680335,0.6856150000000001,-0.164275,-0.64413,1.95997,1460.9266011055252,7,12,1,0,1,478702.4758994618,3617371.6096149646
-0.5,403.0,403.0,1.0,5.0,9.026773333333333,0.0,-0.4719933333333334,0.66737,-0.17609999999999998,-0.6722250000000001,2.086805,1501.6050527189072,7,12,1,0,1,478702.4758994618,3617371.6096149646
-0.4,206.0,206.0,1.0,5.0,9.014083333333334,0.0,-0.3820733333333333,0.6621,-0.17908,-0.61492,2.03957,1510.3458692040476,7,12,1,0,1,478702.4758994618,3617371.6096149646
-0.2,836.0,836.0,1.0,5.0,9.012373333333333,0.0,-0.18345666666666668,0.65099,-0.18643,-0.65321,2.14144,1536.1219066345107,7,12,1,0,1,478702.4758994618,3617371.6096149646
-0.1,699.5,699.5,1.0,5.0,9.006186666666668,0.0,-0.09172833333333333,0.6481950000000001,-0.189305,0.6428849999999999,3.412185,1549.931295836215,7,12,1,0,1,478702.4758994618,3617371.6096149646
-5.1000000000000005,421.0,421.0,1.0,5.0,8.97472,0.0,-5.1047166666666675,1.21257,0.08371,-2.21494,-0.80498,824.6946568033186,7,12,2,0,2,478703.23722799344,3617370.294056903
-4.7,581.0,581.0,1.0,5.0,8.945943333333334,0.0,-4.716693333333334,1.16832,0.06756,-2.21405,-0.77165,855.9298822240482,7,12,2,0,2,478703.23722799344,3617370.294056903
-4.1000000000000005,775.0,775.0,1.0,5.0,9.19391,0.0,-4.138573333333333,1.10153,0.04199,-2.11311,-0.44055,907.8282025909418,7,12,2,0,2,478703.23722799344,3617370.294056903
-4.0,365.0,365.0,1.0,5.0,8.895116666666667,0.0,-3.989410000000001,1.08544,0.03561,-1.82342,-0.18738,921.2853773584906,7,12,2,0,2,478703.23722799344,3617370.294056903
-3.7,277.0,277.0,1.0,5.0,8.884423333333334,0.0,-3.6516866666666665,1.05025,0.02129,-1.84468,-0.16166,952.1542489883362,7,12,2,0,2,478703.23722799344,3617370.294056903
-3.5,368.0,368.0,1.0,5.0,9.163756666666666,0.0,-3.4778766666666665,1.02535,0.01087,-1.63794,0.10492,975.276734773492,7,12,2,0,2,478703.23722799344,3617370.294056903
-3.2,279.0,279.0,1.0,5.0,9.13874,0.0,-3.1630900000000004,0.98552,-0.00633,-1.65928,0.1399,1014.6927510349866,7,12,2,0,2,478703.23722799344,3617370.294056903
-3.0,216.0,216.0,1.0,5.0,8.858866666666666,0.0,-3.01786,0.97357,-0.01163,-1.46534,0.39903,1027.1475086537178,7,12,2,0,2,478703.23722799344,3617370.294056903
