X,Y,Linear Conductivity,Log Conductivity,Linear Resistivity,Log Resistivity,Depth
478686.703062122,3617253.25739518,1481.8587840559476,3.1708068188744836,0.6748281352848835,-0.17080681887448365,-0.25
478686.924034709,3617253.82105373,1541.134231761538,3.187840467124962,0.6488727454045232,-0.18784046712496194,-0.25
478686.813624442,3617254.42637667,1561.4677614664442,3.1935330220841416,0.640423084406722,-0.19353302208414153,-0.25
478686.997619054,3617254.86694155,1496.0240408243365,3.174938572614979,0.6684384560083553,-0.17493857261497892,-0.25
478686.944703319,3617255.20516427,1555.1210109183105,3.1917641890730004,0.6430367752600118,-0.19176418907300027,-0.25
478686.900905621,3617255.66715618,1582.71513072141,3.19940275422504,0.6318256397436439,-0.19940275422503978,-0.25
478686.760950641,3617256.09424969,1538.8564360181572,3.18719810524189,0.6498331985974817,-0.18719810524188968,-0.25
478686.746100476,3617256.69875219,1579.6262151400806,3.1985543325829964,0.6330611573898958,-0.19855433258299646,-0.25
478686.665992594,3617257.10631786,1596.1546767744412,3.203074974743203,0.626505698069833,-0.20307497474320307,-0.25
478686.634470417,3617257.95073516,1612.9324582010188,3.207616181620363,0.6199887632711838,-0.207616181620363,-0.25
478686.392980361,3617258.50676166,1697.5687136325198,3.229827362538672,0.5890777745662874,-0.22982736253867203,-0.25
478686.665466159,3617259.2935607,1726.2123457050468,3.237094218317536,0.5793030055010783,-0.23709421831753585,-0.25
478686.564872124,3617259.9838519,1750.614742236005,3.2431905814174247,0.5712279097585637,-0.24319058141742483,-0.25
478686.585006656,3617261.7267045,1678.6627779107066,3.224963460639587,0.5957122616637855,-0.22496346063958722,-0.25
478686.769954974,3617262.24794554,1574.3023334695404,3.1970881391723016,0.635202005828284,-0.19708813917230147,-0.25
478686.594171743,3617262.72407696,1601.3333667694076,3.2044817530793384,0.6244795872938307,-0.2044817530793382,-0.25
478686.607621189,3617263.29002737,1579.2021313629457,3.1984377214695217,0.6332311615720404,-0.1984377214695215,-0.25
478686.291882037,3617263.70610373,1555.742490659109,3.191937713385782,0.6427798983470188,-0.19193771338578186,-0.25
478686.248682294,3617264.20412242,1614.6138422168567,3.208068671405561,0.6193431357103969,-0.20806867140556062,-0.25
478686.267850342,3617264.76544161,1589.3150780808623,3.20121000363105,0.6292018579522475,-0.2012100036310499,-0.25
478686.120132032,3617265.33666398,1622.2181594225192,3.2101092586681728,0.6164399000168894,-0.21010925866817282,-0.25
478686.091340425,3617265.99693205,1637.5552728899463,3.2141959677819756,0.6106664102001313,-0.21419596778197572,-0.25
478686.149774443,3617266.77710691,1697.311434161076,3.2297615369129624,0.5891670673238977,-0.22976153691296236,-0.25
478685.903423706,3617267.25184976,1677.2527746130245,3.2245985189847106,0.5962130545473205,-0.2245985189847108,-0.25
478685.922614841,3617267.82394653,1754.077661835468,3.244048817855524,0.5701001852754908,-0.2440488178555239,-0.25
478685.690388198,3617268.32822063,1708.434295532325,3.2325982809770677,0.5853312606841655,-0.2325982809770676,-0.25
478685.649591948,3617268.85425601,1558.988517739848,3.192842916535482,0.6414415427829804,-0.19284291653548208,-0.25
478685.495826837,3617269.52002649,1515.6950327951356,3.180611827352912,0.6597633286135879,-0.1806118273529118,-0.25
