x,y,Linear Conductivity,Linear Resistivity,Depth,DOI,DOI Flag
448588.0089,4177645.729,7.920597798,126.2530967,-0.1,-5.175306255,0
448587.6435,4177646.481,7.921038408,126.2460739,-0.1,-5.175306255,0
448587.2431,4177647.268,7.949416579,125.7953952,-0.1,-5.175306255,0
448586.8041,4177648.069,7.998275301,125.0269542,-0.1,-5.175306255,0
448586.306,4177648.873,8.063446114,124.0164547,-0.1,-5.175306255,0
448585.7604,4177649.677,8.120190656,123.1498178,-0.1,-5.175306255,0
448585.2184,4177650.5,8.149871135,122.7013266,-0.1,-5.175306255,0
448584.7019,4177651.325,8.183144704,122.2024095,-0.1,-5.175306255,0
448584.231,4177652.099,8.253606035,121.1591631,-0.1,-5.175306255,0
448583.8217,4177652.869,8.312094154,120.3066257,-0.1,-5.175306255,0
448583.4194,4177653.636,8.350467521,119.753774,-0.1,-5.175306255,0
448583.0304,4177654.412,8.381789674,119.3062626,-0.1,-5.175306255,0
448582.6563,4177655.162,8.411007625,118.8918195,-0.1,-5.175306255,0
448582.2953,4177655.915,8.446619483,118.3905587,-0.1,-5.175306255,0
448581.9874,4177656.694,8.456714409,118.2492339,-0.1,-5.175306255,0
448581.7175,4177657.495,8.484078222,117.867843,-0.1,-5.175306255,0
448581.4239,4177658.312,8.51036959,117.50371,-0.1,-5.175306255,0
448581.0855,4177659.146,8.544774331,117.0305922,-0.1,-5.175306255,0
448580.7243,4177660.001,8.592654064,116.3784778,-0.1,-5.175306255,0
448580.3121,4177660.862,8.616588027,116.0552178,-0.1,-5.175306255,0
448579.9053,4177661.753,8.670868438,115.3287017,-0.1,-5.175306255,0
448579.487,4177662.63,8.767771134,114.054072,-0.1,-5.175306255,0
448579.0406,4177663.528,8.858233983,112.8893188,-0.1,-5.175306255,0
448578.5767,4177664.449,8.954542356,111.6751655,-0.1,-5.175306255,0
448578.0971,4177665.378,9.083688791,110.0874351,-0.1,-5.175306255,0
448577.6137,4177666.273,9.190475258,108.8083012,-0.1,-5.175306255,0
448577.1275,4177667.143,9.314211396,107.3628198,-0.1,-5.175306255,0
448576.6669,4177668.02,9.425006011,106.1007281,-0.1,-5.175306255,0
448576.2265,4177668.9,9.506438239,105.1918684,-0.1,-5.175306255,0
448575.8266,4177669.765,9.614111799,104.0137686,-0.1,-5.175306255,0
448575.4484,4177670.574,9.648272807,103.6454939,-0.1,-5.175306255,0
448575.0817,4177671.389,9.661200127,103.5068094,-0.1,-5.175306255,0
448574.6858,4177672.189,9.661757483,103.5008384,-0.1,-5.175306255,0
448574.3005,4177672.982,9.639259594,103.7424078,-0.1,-5.175306255,0
448573.9396,4177673.746,9.593526673,104.2369542,-0.1,-5.175306255,0
448573.5761,4177674.513,9.540085721,104.8208611,-0.1,-5.175306255,0
448573.2223,4177675.28,9.483155534,105.4501317,-0.1,-5.175306255,0
448581.2286,4177545.602,516.7409279,1.935205721,-0.15,-2.809451967,0
448581.314,4177546.158,524.536059,1.906446626,-0.15,-3.105183753,0
448581.3836,4177546.858,532.9843382,1.876227739,-0.15,-3.105183753,0
448581.4591,4177547.667,538.3830323,1.857413663,-0.15,-3.105183753,0
448581.5564,4177548.577,540.959563,1.848567006,-0.15,-3.105183753,0
448581.663,4177549.569,545.7847006,1.832224317,-0.15,-3.105183753,0
448581.804,4177550.553,547.8463785,1.825329215,-0.15,-3.105183753,0
448581.9869,4177551.494,549.5990594,1.819508209,-0.15,-3.105183753,0
448582.1767,4177552.395,547.8989741,1.825153992,-0.15,-3.105183753,0
448582.3837,4177553.244,542.6258284,1.842890529,-0.15,-3.105183753,0
448582.5756,4177554.05,536.5234845,1.863851311,-0.15,-3.105183753,0
448582.7726,4177554.841,532.5656472,1.877702787,-0.15,-3.105183753,0
448582.9703,4177555.601,530.5071791,1.884988629,-0.15,-3.105183753,0
448583.1502,4177556.337,530.746682,1.884138015,-0.15,-3.105183753,0
448583.2937,4177557.037,531.4415681,1.881674412,-0.15,-3.105183753,0
448583.5049,4177557.7,531.4858507,1.881517633,-0.15,-3.105183753,0
448583.7099,4177558.364,530.5975707,1.884667505,-0.15,-3.105183753,0
448583.8808,4177559.054,527.1725356,1.896912173,-0.15,-3.105183753,0
448584.0287,4177559.752,521.0640386,1.919149905,-0.15,-3.105183753,0
448584.1433,4177560.465,511.6785177,1.954352128,-0.15,-3.105183753,0
448584.2765,4177561.195,500.0657704,1.999736953,-0.15,-3.105183753,0
448584.4158,4177561.919,484.8144302,2.062644875,-0.15,-3.105183753,0
448584.5579,4177562.666,468.1258533,2.136177682,-0.15,-3.105183753,0
448584.6999,4177563.394,451.6660905,2.214024965,-0.15,-3.105183753,0
448584.8516,4177564.117,437.1166231,2.287718991,-0.15,-3.105183753,0
448584.9053,4177564.827,423.911023,2.358985602,-0.15,-3.105183753,0
448584.9334,4177565.52,412.0263401,2.4270293,-0.15,-3.105183753,0
448584.9639,4177566.169,401.2749759,2.492056719,-0.15,-3.105183753,0
448585.0172,4177566.802,391.3577481,2.555206853,-0.15,-3.105183753,0
448585.1181,4177567.443,384.0904824,2.603553188,-0.15,-3.105183753,0
448585.2454,4177568.072,378.7695845,2.64012751,-0.15,-3.105183753,0
448585.391,4177568.673,375.5323041,2.662886759,-0.15,-3.105183753,0
448585.5336,4177569.223,374.0038028,2.673769605,-0.15,-3.105183753,0
448585.694,4177569.796,372.5370573,2.684296718,-0.15,-3.105183753,0
448585.8556,4177570.414,372.7499712,2.682763453,-0.15,-3.105183753,0
448585.9812,4177571.06,373.4124752,2.678003726,-0.15,-3.105183753,0
448586.0981,4177571.715,374.2506332,2.672006168,-0.15,-3.105183753,0
448586.2036,4177572.398,375.530022,2.662902941,-0.15,-3.105183753,0
448586.2838,4177573.104,377.2887119,2.650490112,-0.15,-3.105183753,0
448586.3048,4177573.793,378.4651651,2.642251103,-0.15,-3.105183753,0
448586.2861,4177574.463,379.4617646,2.635311627,-0.15,-3.105183753,0
448586.2444,4177575.114,378.5690864,2.641525777,-0.15,-3.105183753,0
448586.1746,4177575.798,375.3932222,2.663873349,-0.15,-3.105183753,0
448586.0623,4177576.43,370.6560506,2.697918996,-0.15,-3.400915539,0
448585.9407,4177576.993,364.2531045,2.745343795,-0.15,-3.400915539,0
448585.8549,4177577.508,357.0425198,2.800786866,-0.15,-3.400915539,0
448585.7794,4177577.973,349.1582785,2.864030618,-0.15,-3.400915539,0
448585.7246,4177578.383,342.3486025,2.920999217,-0.15,-3.400915539,0
448585.7188,4177578.711,336.6679337,2.970285851,-0.15,-3.400915539,0
448585.7603,4177579.013,330.0204334,3.030115407,-0.15,-3.400915539,0
448585.8167,4177579.294,323.3087743,3.093018438,-0.15,-3.400915539,0
448585.866,4177579.568,318.7756972,3.137002002,-0.15,-3.400915539,0
