HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP4.0,PRP4.1
13.8,3.8,10.5,6.1,12.8,9.1
13.8,3.8,10.5,6.1,12.8,9.1
13.8,3.8,10.5,6.1,12.8,9.1
13.8,3.8,10.5,6.1,12.8,9.1
13.8,3.8,10.5,6.1,12.8,9.1
13.8,3.8,10.5,6.1,12.8,9.1
13.8,3.8,10.5,6.1,12.8,9.1
13.8,3.8,10.5,6.1,12.8,9.1
13.8,3.8,10.5,6.1,12.8,9.1
13.8,3.8,10.5,6.1,12.8,9.1
13.8,4.3,10.8,6.6,13.1,9.3
13.8,4.3,10.8,6.6,13.1,9.3
13.8,4.3,10.8,6.6,13.1,9.3
13.8,4.3,10.8,6.6,13.1,9.3
13.8,4.3,10.8,6.6,13.1,9.3
13.8,4.3,10.8,6.6,13.1,9.3
13.8,4.3,10.8,6.6,13.1,9.3
13.8,4.3,10.8,6.6,13.1,9.3
13.8,4.3,10.8,6.6,13.1,9.3
13.8,4.3,10.8,6.6,13.1,9.3
13.8,4.3,10.8,6.6,13.1,9.3
13.8,4.3,10.8,6.6,13.1,9.3
13.8,4.3,10.8,6.6,13.1,9.3
13.8,4.3,10.8,6.6,13.1,9.3
13.8,4.3,10.8,6.6,13.1,9.3
13.8,4.5,11.1,7.1,13.4,9.6
13.7,4.6,11.2,7.2,13.5,9.7
13.7,4.6,11.2,7.2,13.5,9.7
13.7,4.6,11.2,7.2,13.5,9.7
13.7,4.6,11.2,7.2,13.5,9.7
13.7,4.6,11.2,7.2,13.5,9.7
13.7,4.6,11.2,7.2,13.5,9.7
13.7,4.6,11.2,7.2,13.5,9.7
13.7,4.6,11.2,7.2,13.5,9.7
13.7,4.6,11.2,7.2,13.5,9.7
13.7,4.6,11.2,7.2,13.5,9.7
13.7,4.6,11.2,7.2,13.5,9.7
13.7,4.6,11.2,7.2,13.5,9.7
13.7,4.6,11.2,7.2,13.5,9.7
13.7,4.6,11.2,7.2,13.5,9.7
13.7,4.6,11.2,7.2,13.5,9.7
13.8,4.6,11.2,7.2,13.6,9.7
14.1,4.5,11.3,7.2,13.9,9.9
14.0,4.5,11.3,7.2,13.9,10.0
14.0,4.5,11.3,7.2,13.9,10.0
14.0,4.5,11.3,7.2,13.9,10.0
14.0,4.5,11.3,7.2,13.9,10.0
14.0,4.5,11.3,7.2,13.9,10.0
14.0,4.5,11.3,7.2,13.9,10.0
14.0,4.5,11.3,7.2,13.9,10.0
14.0,4.5,11.3,7.2,13.9,10.0
13.0,4.2,10.2,6.7,12.1,8.8
12.5,4.0,9.7,6.5,11.2,8.2
12.5,4.0,9.7,6.5,11.2,8.2
12.5,4.0,9.7,6.5,11.2,8.2
12.5,4.0,9.7,6.5,11.2,8.2
12.5,4.0,9.7,6.5,11.2,8.2
12.5,4.0,9.7,6.5,11.2,8.2
12.5,4.0,9.7,6.5,11.2,8.2
12.5,4.0,9.7,6.5,11.2,8.2
12.5,4.0,9.7,6.5,11.2,8.2
12.5,4.0,9.7,6.5,11.2,8.2
12.5,4.0,9.7,6.5,11.2,8.2
12.5,4.0,9.7,6.5,11.2,8.2
12.5,4.0,9.7,6.5,11.2,8.2
12.5,4.0,9.7,6.5,11.2,8.2
12.5,4.0,9.7,6.5,11.2,8.2
12.5,4.0,9.7,6.5,11.2,8.2
12.5,4.0,9.7,6.5,11.2,8.2
12.5,4.0,9.7,6.5,11.2,8.2
12.5,4.0,9.7,6.5,11.2,8.2
12.6,4.4,9.6,6.7,11.1,8.3
12.6,4.5,9.6,6.8,11.1,8.3
