X,Y,x,y,Z,Conductivity(mS/m),Log10(Conductivity mS/m),ERT_doi
15.85553667,0,460744.3162,4276511.721,-2.157993333,4.9518036,0.694763411,0.014577778
27.79782667,0,460738.6493,4276501.25,-0.598193333,4.566556186,0.659588806,0.014077778
37.55531,0,460734.0191,4276492.694,-9.421313333,3.1397608,0.496896563,0.045266667
72.66031333,0,460717.361,4276461.913,-8.79589,3.314662612,0.52043933,0.013677778
46.66044667,0,460729.6985,4276484.711,-2.79107,9.250446496,0.966162696,0.0049
46.51943333,0,460729.7654,4276484.834,-9.44227,2.164772105,0.335412183,0.040655556
9.466753333,0,460747.3478,4276517.323,-8.626416667,3.011122998,0.478728496,0.069883333
56.97671667,0,460724.8032,4276475.665,-1.42491,6.021589808,0.779711168,0.007577778
39.74236667,0,460732.9813,4276490.777,-1.73762,5.069912316,0.705000448,0.004655556
8.095726667,0,460747.9984,4276518.525,-9.450666667,2.856539638,0.455840255,0.133577778
29.53718667,0,460737.8239,4276499.725,-1.022583333,4.838855936,0.684742692,0.004372222
50.95637333,0,460727.66,4276480.944,-0.263403333,4.831575622,0.684088781,0.003833333
42.10849,0,460731.8585,4276488.702,-1.536256667,4.021382172,0.604375348,0.007788889
45.24701333,0,460730.3692,4276485.95,-4.264133333,9.177254542,0.962712778,0.032133333
26.14570333,0,460739.4332,4276502.699,-2.56048,5.07788382,0.70568276,0.003777778
97.15225333,0,460705.739,4276440.438,-8.72822,5.691643057,0.755237656,0.181588889
95.61971,0,460706.4662,4276441.782,-1.004216667,6.333469186,0.801641662,8.89E-05
12.93871333,0,460745.7003,4276514.279,-2.998653333,5.330789623,0.726791544,0.028988889
66.31583,0,460720.3716,4276467.476,-9.46902,3.889713249,0.589917586,0.024988889
108.8589167,0,460700.1839,4276430.173,-0.30027,8.775655629,0.943279572,0.012833333
31.42366667,0,460736.9287,4276498.071,-7.421776667,3.920752188,0.593369394,0.003438889
5.968553333,0,460749.0078,4276520.391,-0.43691,4.825336801,0.683527632,0.023844444
57.95884,0,460724.3372,4276474.804,-1.525483333,6.362686357,0.803640516,0.014188889
1.984226667,0,460750.8984,4276523.884,-8.75201,2.933535904,0.467391408,0.223105556
62.29364333,0,460722.2802,4276471.003,-1.50521,6.251969761,0.796016869,0.004655556
62.50923,0,460722.1779,4276470.814,-1.682533333,6.49893437,0.812842151,0.002894444
97.50229333,0,460705.5729,4276440.131,-0.981116667,6.190343275,0.791714733,0.016022222
31.07608333,0,460737.0937,4276498.376,-7.484443333,3.897732237,0.590812001,0.003583333
27.9105,0,460738.5958,4276501.151,-9.776306667,3.570496672,0.552728633,0.083944444
55.90881,0,460725.3099,4276476.602,-0.337986667,6.614990362,0.820529216,0.002055556
26.64404667,0,460739.1968,4276502.262,-0.55561,5.301232743,0.724376872,0.010077778
42.28383,0,460731.7753,4276488.548,-0.965666667,3.960574069,0.59775814,0.006511111
9.017896667,0,460747.5608,4276517.717,-3.134356667,4.979896407,0.697220309,0.041444444
72.96984,0,460717.2141,4276461.642,-9.071056667,3.243911664,0.511069019,0.013444444
95.24601333,0,460706.6435,4276442.11,-1.278826667,6.199475438,0.792354944,0.000255556
45.41409,0,460730.2899,4276485.804,-3.266666667,9.249680701,0.966126741,0.013511111
25.46312,0,460739.7571,4276503.297,-6.626283333,3.194818873,0.504446241,0.031672222
42.10212333,0,460731.8615,4276488.708,-0.829956667,4.342593262,0.637749154,0.00755
74.37403,0,460716.5478,4276460.411,-2.744043333,6.960930732,0.842667312,0.010527778
45.80459,0,460730.1046,4276485.461,-0.383693333,6.250411746,0.795908627,0.009122222
83.84518667,0,460712.0535,4276452.106,-8.830006667,3.387317808,0.529855945,0.052038889
96.60531667,0,460705.9985,4276440.918,-1.672333333,5.82473738,0.765276349,0.004927778
88.5411,0,460709.8252,4276447.989,-0.298073333,5.084095516,0.706213701,0.004994444
115.62907,0,460696.9713,4276424.237,-3.17488,8.427939056,0.925721386,0.075927778
83.37492333,0,460712.2766,4276452.519,-1.285746667,6.543751885,0.815826824,0.015405556
24.51309333,0,460740.208,4276504.13,-0.51921,5.149486769,0.711763947,0.00435
99.52919667,0,460704.611,4276438.354,-0.220666667,8.007177634,0.903479463,0.003105556
44.18689667,0,460730.8723,4276486.88,-0.986193333,3.312211471,0.520118057,0.010938889
89.76584667,0,460709.244,4276446.915,-0.274693333,6.278658939,0.797866893,0.009722222
96.81267,0,460705.9001,4276440.736,-8.921146667,5.551631786,0.744420654,0.1891
50.16815333,0,460728.034,4276481.635,-1.21589,4.876925422,0.688146114,0.008494444
1.171683333,0,460751.284,4276524.597,-1.019743333,5.17306221,0.713747701,0.008694444
94.65999667,0,460706.9216,4276442.623,-3.550933333,7.63035799,0.882544914,0.029992778
90.04179333,0,460709.113,4276446.673,-1.763816667,7.749044407,0.88924815,0.007288889
9.71751,0,460747.2288,4276517.103,-9.050706667,2.99406872,0.476261764,0.087205556
88.4905,0,460709.8492,4276448.033,-9.040213333,3.890006034,0.589950275,0.078522222
1.0116,0,460751.36,4276524.737,-8.75685,2.992897973,0.476091912,0.272377778
46.86955,0,460729.5993,4276484.527,-2.96087,9.964623593,0.998460898,0.014577778
50.39949667,0,460727.9242,4276481.432,-1.30293,5.625412237,0.750154354,0.002461111
41.95190333,0,460731.9328,4276488.839,-1.68568,4.456732945,0.649016611,0.010616667
87.639,0,460710.2532,4276448.78,-2.906456667,8.097660375,0.908359558,0.021277778
105.1508867,0,460701.9434,4276433.425,-0.67042,7.122647648,0.852641461,0.005877778
41.68821,0,460732.058,4276489.071,-8.980616667,2.701623222,0.431624781,0.029683333
39.85896333,0,460732.926,4276490.675,-1.023566667,4.591445806,0.661949463,0.0045
24.21227333,0,460740.3507,4276504.394,-1.025113333,4.905660951,0.690697529,0.000538889
32.59851333,0,460736.3712,4276497.041,-0.483616667,4.655404189,0.667957393,0.005594444
96.40687667,0,460706.0927,4276441.092,-1.672406667,5.774592923,0.761521374,0.001122222
107.5713333,0,460700.7949,4276431.302,-1.065076667,6.043977065,0.781322808,0.0156
43.48277,0,460731.2064,4276487.497,-9.536613333,2.423970352,0.384527304,0.071288889
1.86596,0,460750.9546,4276523.988,-1.605553333,6.730565761,0.828051572,0.002172222
26.47231333,0,460739.2783,4276502.412,-0.749326667,5.101000837,0.707655395,0.008427778
115.8233,0,460696.8791,4276424.067,-3.380353333,8.397271559,0.924138198,0.079327778
94.38730333,0,460707.051,4276442.863,-3.53988,7.596692218,0.880624531,0.031098333
50.61097333,0,460727.8239,4276481.247,-3.999546667,6.287012823,0.798444346,0.026188889
1.426036667,0,460751.1633,4276524.374,-5.729573333,3.567068722,0.552311476,0.0586
20.18297333,0,460742.2627,4276507.927,-8.613353333,3.007473662,0.478201833,0.004588889
96.81165,0,460705.9006,4276440.737,-4.606056667,8.112605561,0.909160361,0.011061111
2.828923333,0,460750.4976,4276523.144,-8.999223333,2.871312044,0.458080393,0.202961111
84.39407667,0,460711.793,4276451.625,-4.035306667,6.368291411,0.804022928,0.047524444
50.83321667,0,460727.7184,4276481.052,-4.206626667,5.789604499,0.762648897,0.035411111
114.23308,0,460697.6337,4276425.461,-3.2483,8.250591588,0.91648509,0.06695
1.060856667,0,460751.3366,4276524.694,-5.830473333,3.535519812,0.548453275,0.063627778
76.02990667,0,460715.762,4276458.959,-0.5474,5.433278417,0.73506196,0.012877778
89.79656,0,460709.2294,4276446.888,-1.642046667,7.623566579,0.882158197,0.002288889
87.04416667,0,460710.5355,4276449.301,-0.63943,6.44218653,0.809033295,0.0053
106.8469033,0,460701.1386,4276431.938,-2.982893333,6.65488353,0.823140459,0.026777778
32.24229,0,460736.5403,4276497.353,-6.09524,4.021027238,0.604337015,0.029533333
15.26942667,0,460744.5943,4276512.235,-2.62715,5.173042942,0.713746084,0.017
73.52603,0,460716.9502,4276461.154,-3.072426667,6.704127094,0.826342239,0.004605556
95.82960333,0,460706.3666,4276441.598,-0.876963333,6.706048158,0.826466668,0.001322222
37.95295,0,460733.8304,4276492.346,-6.580593333,3.602082032,0.556553599,0.027777778
113.8825933,0,460697.8,4276425.769,-1.38,8.721726344,0.940602456,0.016821111
32.88697333,0,460736.2344,4276496.788,-6.210366667,4.005836825,0.602693255,0.032294444
21.79626,0,460741.4972,4276506.512,-0.574603333,4.86612606,0.687183355,0.00915
9.998856667,0,460747.0953,4276516.857,-1.430246667,4.660595837,0.668441443,0.001744444
37.89542333,0,460733.8577,4276492.396,-9.731913333,3.044975846,0.483583852,0.043755556
36.55045,0,460734.4959,4276493.576,-5.1475,3.966219549,0.598376751,0.03155
113.6603567,0,460697.9055,4276425.963,-1.346576667,8.691363175,0.939087898,0.020005556
31.60778667,0,460736.8414,4276497.909,-2.93747,4.787262206,0.680087215,0.007666667
1.344583333,0,460751.202,4276524.445,-1.279526667,5.943290195,0.774026936,0.0041
39.15361,0,460733.2607,4276491.293,-1.235746667,5.117468417,0.709055171,0.005283333
45.17483,0,460730.4035,4276486.013,-4.60538,8.413073142,0.924954665,0.032766667
96.27457667,0,460706.1554,4276441.208,-0.619313333,7.792429623,0.891672889,0.000838889
56.80124,0,460724.8865,4276475.819,-1.55027,6.362497303,0.803627611,0.005411111
73.12154333,0,460717.1421,4276461.509,-0.790026667,5.509002647,0.741072981,0.006766667
5.02662,0,460749.4547,4276521.217,-6.591296667,2.978276954,0.473965081,0.030827778
51.10774,0,460727.5882,4276480.811,-0.121946667,4.426558002,0.646066159,0.011
61.60456333,0,460722.6072,4276471.607,-3.431706667,6.588325329,0.818775036,0.023761111
65.26830333,0,460720.8686,4276468.395,-0.589583333,6.46358346,0.810473361,0.002961111
33.15849,0,460736.1055,4276496.55,-6.03385,4.012584428,0.603424183,0.023722222
87.07634667,0,460710.5202,4276449.273,-0.445213333,6.757584104,0.82979146,0.00545
17.60021667,0,460743.4883,4276510.192,-8.595903333,3.167045498,0.500654303,0.002444444
99.75632333,0,460704.5033,4276438.155,-0.781106667,5.502877124,0.740589815,0.008183333
113.34761,0,460698.0539,4276426.238,-0.97787,9.169547968,0.962347927,0.018946667
5.41393,0,460749.271,4276520.877,-6.511296667,2.97851975,0.474000484,0.029222222
25.32214667,0,460739.824,4276503.421,-2.876306667,4.828998872,0.683857104,0.0169
40.34799,0,460732.6939,4276490.246,-3.49572,6.441847063,0.80901041,0.01135
29.53304,0,460737.8259,4276499.729,-1.265293333,4.717871742,0.67374613,0.010088889
108.6878367,0,460700.265,4276430.323,-0.135973333,7.748968748,0.889243909,0.018211111
45.92926333,0,460730.0455,4276485.352,-0.5257,4.768938037,0.67842168,0.010488889
37.30741333,0,460734.1367,4276492.912,-0.123803333,6.529100691,0.814853366,0.029894444
81.79349333,0,460713.0271,4276453.905,-1.169813333,5.595841887,0.747865435,0.015705556
19.71896,0,460742.4829,4276508.334,-3.370396667,5.586499487,0.747139763,0.037161111
35.58360333,0,460734.9547,4276494.423,-0.928436667,5.682577581,0.754545374,0.008616667
32.20991,0,460736.5556,4276497.381,-6.478236667,3.986045334,0.600542234,0.029555556
64.24968667,0,460721.352,4276469.288,-3.05946,6.572110212,0.817704838,0.00785
