x,y,HCP1.0,HCP1.0_inph,PRP1.1,PRP1.1_inph,HCP2.0,HCP2.0_inph,PRP2.1,PRP2.1_inph,HCP4.0,HCP4.0_inph,PRP4.1,PRP4.1_inph,,,,,,,
460710.0228,4276483.125,16.4,0.12,4.4,-1.47,7.4,0.06,7.1,-5.5,9.4,-0.93,8.3,-16.4,,,,,,,
460709.5614,4276482.227,15.6,0.11,4.4,-1.47,8.6,0.09,6.8,-5.42,9.2,-0.94,8.5,-15.92,,,,,,,
460709.1711,4276481.439,16.3,0.12,3.9,-1.48,7.8,-0.07,7.3,-5.49,9.3,-0.83,9.1,-16.44,,,,,,,
460708.7808,4276480.651,17.4,0.09,3.9,-1.47,9,-0.04,7.7,-5.57,9.6,-0.8,9.3,-16.89,,,,,,,
460708.3904,4276479.862,17.5,0.08,4.3,-1.47,8.7,-0.09,8.2,-5.31,9.8,-0.87,9.4,-16.69,,,,,,,
460707.8458,4276479.022,18.5,0.09,4,-1.51,7.9,-0.16,8.7,-5.52,9.5,-0.76,9.8,-16.54,,,,,,,
460707.3021,4276478.181,18.4,0.09,4.7,-1.5,8.4,-0.14,8.9,-5.48,9.6,-0.83,9.7,-15.45,,,,,,,
460706.7574,4276477.34,18.6,0.11,5.7,-1.49,7.9,-0.02,9.9,-5.46,9.3,-0.99,9.8,-16.91,,,,,,,
460706.3714,4276476.547,20.4,0.15,5,-1.51,8.6,-0.09,10.3,-5.95,8.8,-0.78,10.3,-17.99,,,,,,,
460705.9863,4276475.753,21.2,0.17,4,-1.47,7.3,-0.13,11.4,-5.42,8.3,-0.83,10.1,-16.64,,,,,,,
460705.6003,4276474.959,20.1,0.13,5.5,-1.54,8.1,0,11.3,-5.24,7.9,-0.9,10.2,-14.97,,,,,,,
460705.0812,4276474.183,18.9,0.11,5.7,-1.51,10.3,-0.02,10.7,-5.5,8.4,-0.86,11.2,-15.8,,,,,,,
460704.5622,4276473.407,19.3,0.08,8,-1.55,10,-0.07,10.8,-5.76,8.2,-0.65,11,-18.04,,,,,,,
460704.0431,4276472.631,19.5,0.11,8.9,-1.47,9.2,-0.03,11,-5.49,8.2,-0.83,11.1,-16.63,,,,,,,
460703.5877,4276471.881,19.2,0.06,9.3,-1.52,10,0.02,11.7,-5.48,7.9,-0.74,10.9,-15.46,,,,,,,
460703.1314,4276471.131,19.5,0.05,8.5,-1.49,10.6,-0.03,11.6,-5.53,7.7,-0.8,10.4,-16.18,,,,,,,
460702.676,4276470.381,19,0.05,8.6,-1.52,11.6,0,11.1,-5.64,7.7,-0.95,11,-17.18,,,,,,,
460702.2079,4276469.35,18.4,0.06,9.5,-1.53,12.3,-0.01,12.3,-5.51,8,-0.82,11.6,-15.69,,,,,,,
460701.7406,4276468.32,18,0.06,9.5,-1.52,12,0,12.7,-5.48,8.2,-0.91,11.2,-16.72,,,,,,,
460701.2725,4276467.289,18.3,0.07,9.6,-1.52,11.8,0.09,12.2,-5.4,8.3,-0.84,11.2,-15.46,,,,,,,
460700.7036,4276466.292,18.3,0.06,9.3,-1.52,11.6,0.02,11.6,-5.44,8.2,-0.81,10.9,-15.43,,,,,,,
460700.1347,4276465.294,18.3,0.08,8.8,-1.52,10.4,-0.02,10.9,-5.65,8.5,-0.87,10.8,-16.77,,,,,,,
460699.5658,4276464.296,19.5,0.08,8.6,-1.55,9.5,-0.02,11.2,-5.58,8.7,-0.86,10.8,-16.61,,,,,,,
