x,y,Z,Log(Conductivity mS/m),conductivity
460651.35533999995,4276374.4346,-0.5,0.7645161123618672,5.814550039379228
460650.87708,4276373.572,-0.5,0.7452854814940083,5.562697985250626
460650.40329,4276372.7493,-0.5,0.7217690407648785,5.269495533879147
460649.90473999997,4276371.901699999,-0.5,0.6801270593443651,4.787701431987393
460649.45697,4276371.1324,-0.5,0.6360035077602324,4.325173244271808
460649.05999,4276370.4416000005,-0.5,0.5897206389628008,3.8879497117997768
460648.81207,4276369.8675,-0.5,0.5246559088469984,3.347001514294102
460648.63216000004,4276369.3903,-0.5,0.47561250404497474,2.989596001910119
460648.48231999995,4276368.9559,-0.5,0.46294723289591766,2.9036698349762218
460648.37954,4276368.6051,-0.5,0.4524791075392413,2.834517271026443
460648.32381999993,4276368.3379,-0.5,0.42048528419807985,2.6332087175028835
460648.31517,4276368.1544,-0.5,0.38832044561001616,2.4452341112522853
460648.34106999997,4276368.0226,-0.5,0.3867806478396429,2.43657984705239
460648.44305,4276367.9987,-0.5,0.4055247998170842,2.544045063340449
460648.54548,4276367.9795,-0.5,0.4059229055588227,2.546378188290099
460648.64872000006,4276367.9652,-0.5,0.41893869541446505,2.623848137397724
460648.65061,4276367.9247,-0.5,0.4462201944456629,2.7939600658912656
460648.63219,4276367.8778,-0.5,0.47179204244504447,2.9634120496079976
460648.63107,4276367.88,-0.5,0.4438402805920815,2.7786911674421666
460648.62986000004,4276367.8828,-0.5,0.42199674877989435,2.6423889757666195
460648.62866000005,4276367.8861,-0.5,0.4167436426556412,2.610619890775911
460648.63821999996,4276367.9006,-0.5,0.4287130475618071,2.683570737598154
460648.65854000003,4276367.9276,-0.5,0.4513922325971815,2.827432414689109
460648.68963000004,4276367.9671,-0.5,0.4697280286509511,2.9493616483117777
460648.76818,4276368.0801,-0.5,0.49223389361137376,3.1062320298774972
460648.89400000003,4276368.2663,-0.5,0.5080227112806872,3.2212372403734197
460649.067,4276368.5257,-0.5,0.5237116999348167,3.339732631370354
460649.27161,4276368.8579,-0.5,0.5344828241670767,3.423598474318023
460649.5082500001,4276369.2615,-0.5,0.5506605817732685,3.5535348728191245
460649.77684000006,4276369.7364,-0.5,0.5510650954182414,3.556846273385454
460650.07618000003,4276370.253500001,-0.5,0.5742615204933439,3.7519886893282344
460650.39535,4276370.8019,-0.5,0.6029423149676059,4.008134761634948
460650.73443,4276371.3817,-0.5,0.6256446765053796,4.2232294404736725
460651.10843,4276372.0355,-0.5,0.6562369820349231,4.531447805542474
460651.48066,4276372.7022,-0.5,0.6809131856035541,4.796375606869968
460651.85104,4276373.3818,-0.5,0.6897780612863065,4.895285902829579
460652.21348000003,4276374.0572999995,-0.5,0.699544055072262,5.0066133731571245
460652.58356999996,4276374.7291,-0.5,0.713843672312806,5.174205488619951
460652.96121000004,4276375.3972000005,-0.5,0.7298339482654337,5.36826502452812
460653.35309999995,4276376.0784,-0.5,0.7530925275472162,5.66359940615316
460653.76034999994,4276376.8019,-0.5,0.7593271512508958,5.745491033926703
460654.18312,4276377.5678,-0.5,0.757565265090168,5.722229409528009
460654.62062999996,4276378.3733,-0.5,0.7560423758324979,5.702199081810292
460655.05785999994,4276379.176,-0.5,0.7683273332244189,5.865801107650235
460655.49481000006,4276379.9759,-0.5,0.7816930110684694,6.04913129774709
460655.93467000005,4276380.782,-0.5,0.7924103883391352,6.200266950914906
460656.3837,4276381.611300001,-0.5,0.7989584186034472,6.2944591385941395
460656.84179999994,4276382.4638,-0.5,0.8048654432092605,6.380657646286827
460657.28859,4276383.3007,-0.5,0.8011287087448024,6.325993025221262
460657.71755999996,4276384.1052,-0.5,0.7964614831737538,6.258373570276108
460658.12870000006,4276384.8773,-0.5,0.79750922492704,6.273490214756787
460658.5220100001,4276385.617,-0.5,0.804318271008236,6.372623650501552
460658.89811000007,4276386.3269,-0.5,0.8057350942137389,6.3934473661730316
460659.42552000005,4276387.3273,-0.5,0.7745330960941187,5.950220996262905
460659.95359000005,4276388.3184,-0.5,0.7554147733778463,5.693964739168384
460660.47921,4276389.291100001,-0.5,0.749440341884091,5.616171248980384
460661.00220999995,4276390.245399999,-0.5,0.7486492685566719,5.605950627709511
460661.52418,4276391.2009000005,-0.5,0.7470782825582407,5.585708693200472
460662.06541,4276392.1963,-0.5,0.7625068497081002,5.78771116675885
460662.62588999997,4276393.2317,-0.5,0.7673823502068985,5.853051564595584
460663.20602000004,4276394.2985,-0.5,0.7764837565920004,5.977006891715925
460663.80581,4276395.3967,-0.5,0.7783111423112007,6.002209395299096
