x,y,layer1,layer2,layer3,depth1,depth2
460714.1158299999,4276490.5763,1.5209363847125286,12.374139713730377,12.378390243475984,0.5,1.5
460713.6373199999,4276489.7118,1.5121759793888394,12.113660612669106,12.278705397046835,0.5,1.5
460713.1569,4276488.8486,1.6605938076250206,11.956610320814182,12.14818936690953,0.5,1.5
460712.67709,4276487.9855,1.9054049520404532,11.873646927125709,11.89763046449465,0.5,1.5
460712.19507,4276487.1144,2.035964074705156,12.137109854575625,11.633795629828537,0.5,1.5
460711.71064999996,4276486.2353,2.1501449642710884,12.361473371901043,11.390933785943608,0.5,1.5
460711.23104,4276485.359300001,2.2743586975955807,12.680202731110498,11.111377458509127,0.5,1.5
460710.76443999994,4276484.491800001,2.325414308910774,13.182759029168032,10.902957160201911,0.5,1.5
460710.31093,4276483.6327,2.407517311485614,13.629071666460163,10.7338577263259,0.5,1.5
460709.855,4276482.777,2.4932782090900094,14.166427014520533,10.512615017748182,0.5,1.5
460709.39335,4276481.9258,2.670477109818533,14.652286726320405,10.31371208693341,0.5,1.5
460708.92597000004,4276481.0791,2.978527885089122,15.156338457641242,10.003169114251047,0.5,1.5
460708.46865,4276480.2417,3.0885628949800594,15.9263162168288,9.68015112551114,0.5,1.5
460708.01895000006,4276479.4147,3.0908352230100484,16.817363402136284,9.34314726337162,0.5,1.5
460707.5767,4276478.5981,3.2738246567702114,17.457284041566087,9.091361662945042,0.5,1.5
460707.12867999997,4276477.7937,3.4356146827640424,18.078018484654592,8.969121829893316,0.5,1.5
460706.66779,4276476.9905,3.9050011519846546,18.53694417561055,8.806934200899885,0.5,1.5
460706.19402,4276476.1885,4.552891580244581,18.78961108250907,8.559043654323007,0.5,1.5
460705.71375,4276475.3904,5.1704690299811125,19.104284680356276,8.285691777560018,0.5,1.5
460705.24231,4276474.6013,5.671787957879061,19.394627689574776,8.074573638012854,0.5,1.5
460704.7797,4276473.8213,6.065204880573151,19.707552089861768,7.904756520076119,0.5,1.5
460704.17432000005,4276472.7165,6.399026015558338,19.909536512558596,7.855602799137505,0.5,1.5
460703.55065,4276471.5912,6.809775872946802,19.740347333752283,7.868323438002648,0.5,1.5
460702.9086,4276470.445499999,7.276335824840086,19.49980470681521,7.9785074968703205,0.5,1.5
460702.24694,4276469.2754,7.4901947234006645,19.385741210205595,8.067688584723571,0.5,1.5
460701.57897,4276468.0792000005,7.549498593426422,19.421596206183423,7.95813577742518,0.5,1.5
460700.90468,4276466.8568,7.151119854877052,19.54497291347541,7.952684854622042,0.5,1.5
460700.23553999997,4276465.6175999995,6.292470536362393,19.751665287915177,8.014938567307897,0.5,1.5
460699.56517,4276464.359,5.339913260805949,19.823671614886845,8.163074760091913,0.5,1.5
460698.81811,4276462.9388999995,4.494238395130062,19.52987333774463,8.428316954861167,0.5,1.5
460697.81421,4276461.025599999,3.749032273714419,19.45103187055258,8.633902180950853,0.5,1.5
460696.96978000004,4276459.4502,3.1770909581266316,19.16408705502149,8.882456107142072,0.5,1.5
460696.14446,4276457.9036,2.661889375567313,18.866105190838997,9.174185082967679,0.5,1.5
460695.32605,4276456.3633,2.2262488664756392,18.53307375408933,9.469258115155224,0.5,1.5
460694.51578,4276454.8333,1.8706305000656462,18.185095525100095,9.768095435634558,0.5,1.5
460693.7137399999,4276453.313399999,1.7312732693546702,17.70414466959561,10.039571714724518,0.5,1.5
460692.92076,4276451.8113,1.747868930369486,17.267294826672217,10.249892772891274,0.5,1.5
460692.1253699999,4276450.3175,2.0265027962775997,16.93903021968642,10.460563777395118,0.5,1.5
460691.32759,4276448.832,2.3402046769964384,16.710375609151985,10.670595860266976,0.5,1.5
460690.60156,4276447.494,2.667762356310212,16.823766624359774,10.749343577637068,0.5,1.5
460690.12734,4276446.635199999,2.9903538485044554,16.75792667806975,10.823512072438199,0.5,1.5
460689.64031999995,4276445.7584,3.007262304775426,17.11536923038999,10.784968085426028,0.5,1.5
460689.16632,4276444.892399999,2.8812318074328784,17.676685177813816,10.66264189153842,0.5,1.5
460688.71764000005,4276444.059699999,2.797186659198009,18.06603571185585,10.627659868939102,0.5,1.5
460688.29426999995,4276443.2603,2.8521775721754654,18.324639489221667,10.646737461538313,0.5,1.5
460687.87971,4276442.4804,3.090191749626494,18.42611381794401,10.71637562270796,0.5,1.5
460687.47320999997,4276441.7123,3.381181149218918,18.02807664071722,10.780471394180086,0.5,1.5
460687.07469,4276440.9561,3.5795151361659676,17.989220489774738,10.853709937454324,0.5,1.5
460686.68551000004,4276440.2057,3.6287788226870794,18.047941978715663,10.887576179446256,0.5,1.5
460686.30708,4276439.4639,3.692679644649058,17.9979051186612,10.974509861950667,0.5,1.5
460685.93938999996,4276438.7308,3.707574971573581,17.945239848265267,10.928805679548523,0.5,1.5
460685.58099,4276438.0095,3.791963344109387,17.83168610171106,10.860883919895622,0.5,1.5
