x,y,layer1,layer2,layer3,depth1,depth2
460716.31828999997,4276494.7743,9.380471125916817,8.217948896010206,6.291515633624788,0.5,1.5
460714.59234,4276491.4422,8.107979909749156,7.7292473134737865,6.702808912588786,0.5,1.5
460714.11583,4276490.576300001,7.909971356791818,7.376069420231004,6.621851787875685,0.5,1.5
460713.63732000004,4276489.7118,7.787352362397822,7.135842345519362,6.557579649304679,0.5,1.5
460713.1569,4276488.8486,8.007537545758982,6.93564408249518,6.447528177000831,0.5,1.5
460712.67709,4276487.9855,8.376170767158044,6.8066314384337465,6.2268563521042575,0.5,1.5
460712.19507,4276487.1144,8.579501668238185,7.035828902535382,6.002606820097695,0.5,1.5
460711.71064999996,4276486.2353,8.786065279250598,7.19928211583834,5.808209902174195,0.5,1.5
460711.23104,4276485.359300001,8.95957392690747,7.500660709458605,5.573695327925083,0.5,1.5
460710.76443999994,4276484.4918,9.042881433084496,7.99651029157232,5.391334193934384,0.5,1.5
460710.31093,4276483.6327,9.19623158231464,8.427721726156754,5.234367435213938,0.5,1.5
460709.855,4276482.777,9.32776202297478,8.949039122568594,5.037335898305603,0.5,1.5
460709.3933499999,4276481.9258,9.660584235875064,9.389166037367952,4.844783246097925,0.5,1.5
460708.9259699999,4276481.0791,10.221355790677434,9.80522262024432,4.554064261359374,0.5,1.5
460708.46865,4276480.241699999,10.41456207742824,10.528504404557781,4.276567120295431,0.5,1.5
460708.01894999994,4276479.4147,10.348707324606352,11.453287778337245,3.986525788258237,0.5,1.5
460707.5767,4276478.5981,10.723583509864246,12.033440960048397,3.757061969113235,0.5,1.5
460707.12867999997,4276477.7937,11.103232723694976,12.594698848184045,3.6266809033752465,0.5,1.5
460706.66779,4276476.990499999,12.159644641655964,12.82889852624819,3.447438597183581,0.5,1.5
460706.19402,4276476.1885,13.506862361406835,12.813371661126073,3.19237722771121,0.5,1.5
460705.71375,4276475.3904,14.827376835799324,12.854707276214688,2.9257366130384157,0.5,1.5
460705.24231,4276474.601299999,15.961539318376103,12.894915450263454,2.7210572315215478,0.5,1.5
460704.7797,4276473.8213,16.902054280258756,12.97786065924727,2.5677722498382574,0.5,1.5
460704.32474999997,4276473.0223,17.786879751028668,13.089181997598745,2.4993741724796563,0.5,1.5
460703.86167,4276472.199599999,18.89709428663507,12.884462632498265,2.447419756015518,0.5,1.5
460703.39029,4276471.3532,20.191360623684744,12.455699869215433,2.5038955614804848,0.5,1.5
460702.90062,4276470.4865,21.045466363345135,12.163975374317895,2.5797166673187366,0.5,1.5
460702.40597,4276469.5976,21.832553864561223,11.808332528730993,2.5354127767027306,0.5,1.5
460701.90632999997,4276468.6865,22.014498638217276,11.732332933093904,2.5308101752169727,0.5,1.5
460701.40038999997,4276467.7491999995,21.703406633049006,11.8512467634898,2.5501502395287274,0.5,1.5
460700.88177,4276466.7832,20.77594142189093,12.184571876853877,2.5822919919451532,0.5,1.5
460700.35056,4276465.7884,19.699945573412446,12.50758473737562,2.653662244871933,0.5,1.5
460699.81813,4276464.7742,17.97391669986971,12.9960876776428,2.730803346403481,0.5,1.5
460699.28574,4276463.768700001,15.866800449363486,13.460329138080926,2.8495007675108104,0.5,1.5
460698.67776,4276462.6296999995,13.710880433239273,13.708584974614984,3.0672034024458035,0.5,1.5
460697.81421,4276461.025599999,11.808014217524207,14.028597040296109,3.2783541159704215,0.5,1.5
460696.96978000004,4276459.450200001,10.594178236377978,13.959751846857081,3.5312292637605034,0.5,1.5
460696.14446,4276457.903600001,9.575204003475307,13.834633443251414,3.816756832631613,0.5,1.5
460695.32605,4276456.3633,8.762827045508553,13.644562040022363,4.098448454118788,0.5,1.5
460694.51578,4276454.8333,8.138903759958547,13.396338403907352,4.375868938718683,0.5,1.5
460693.7137399999,4276453.313399999,8.00610249191368,12.889471257971051,4.627720313666525,0.5,1.5
460692.92076,4276451.8113,8.165206896652212,12.364113924220545,4.816763374173098,0.5,1.5
460692.1253699999,4276450.3175,8.8924730406528,11.832586096075989,4.971270190510567,0.5,1.5
460691.32759,4276448.8319999995,9.724154710648804,11.353745783004868,5.117318526511684,0.5,1.5
460690.60156,4276447.494,10.555715669299369,11.19420040474389,5.149295085270737,0.5,1.5
460690.12734,4276446.635199999,11.250866022372977,11.021513084078332,5.162616064961987,0.5,1.5
460689.64031999995,4276445.7584,11.28123916554055,11.402484782371086,5.10684072974849,0.5,1.5
460689.16632,4276444.892399999,10.97448687655149,12.056217342982722,4.995597918903559,0.5,1.5
460688.71764000005,4276444.059699999,10.80071031241346,12.479242289409301,4.964989816938099,0.5,1.5
460688.29426999995,4276443.2603,10.924073580125087,12.72310549005198,4.9646605253550575,0.5,1.5
460687.87971,4276442.4804,11.409042698853309,12.780405630428906,4.974270707047524,0.5,1.5
460687.47320999997,4276441.7123,11.995863491078842,12.293528729239085,5.008744011631155,0.5,1.5
460687.07469,4276440.9561,12.457951089649953,12.133597326415899,5.047527221794557,0.5,1.5
460686.68551000004,4276440.2057,12.58014450036968,12.174792440049076,5.064312529461132,0.5,1.5
460686.30708,4276439.4639,12.752275238319868,12.095414083564354,5.12176064574163,0.5,1.5
460685.93938999996,4276438.7308,12.72751564665636,12.069589283804389,5.079829149934344,0.5,1.5
460685.58099,4276438.0095,12.82191138983017,11.957941213814484,5.016418982624729,0.5,1.5
460685.20605999994,4276437.2713,12.811180327453496,11.911296192307647,4.992312847970622,0.5,1.5
460684.81450000004,4276436.5161,12.525274785068646,12.133445125367297,4.892908933842504,0.5,1.5
460684.39184,4276435.735400001,11.90406555491819,12.532261401749244,4.758291879088805,0.5,1.5
460683.95449000003,4276434.943,10.73127608138911,13.264389457017408,4.66815470309446,0.5,1.5
460683.50237999996,4276434.1391,9.523035932885985,14.3971192545984,4.54664974552739,0.5,1.5
460683.07292999997,4276433.359100001,8.29431880794489,15.20472326280357,4.426599283522683,0.5,1.5
460682.66486,4276432.6091,8.114183111631656,15.361634822681863,4.354103982664752,0.5,1.5
460682.27809,4276431.8891,8.02591859413946,15.390570280892346,4.298697211049794,0.5,1.5
460681.88749,4276431.1681,8.087701590590255,15.233108424060871,4.433093673406181,0.5,1.5
460681.49442999996,4276430.443,8.092697556105012,14.97169971354515,4.647860539719292,0.5,1.5
460681.09900000005,4276429.7137,8.531456755302173,14.478902879732276,4.818417164589428,0.5,1.5
460680.70719999995,4276428.9956,8.830684475161412,13.910348448706868,5.022316057735925,0.5,1.5
460680.3335,4276428.297099999,9.26835722786745,13.269978911420166,5.221683729285584,0.5,1.5
460679.97801,4276427.6184,9.8083118501988,12.642992756353822,5.39721177464449,0.5,1.5
460679.6412000001,4276426.9523,10.25337856454823,12.13821945322223,5.599204366609153,0.5,1.5
460679.28575,4276426.2634,11.20804934068094,11.41117427227819,5.736196342521814,0.5,1.5
460678.91156000004,4276425.5517,11.053255532968002,10.64433338536167,5.893794544461061,0.5,1.5
460678.52053999994,4276424.8160999995,11.131304858865091,10.369841408110265,5.950258670185355,0.5,1.5
460678.13772999996,4276424.0875,10.798293332218602,10.228147975059235,5.917900205868941,0.5,1.5
460677.76331,4276423.365900001,10.491618049220175,10.106648911192396,5.908633098753636,0.5,1.5
460677.38688,4276422.6427,9.991371784018472,9.945126944947743,5.941411820775443,0.5,1.5
460677.00253,4276421.9027,9.652781739869022,9.88014651924626,5.977328853826595,0.5,1.5
460676.61026999995,4276421.145900001,9.320655983264919,9.87758499904878,6.063531323448485,0.5,1.5
460676.21073000005,4276420.3773,9.035916805219214,9.787957972298953,6.176157729328726,0.5,1.5
460675.80351,4276419.604,8.83303792682277,9.575345680852896,6.259383334094117,0.5,1.5
460675.3885100001,4276418.8261,8.369237409983853,9.402455553060486,6.4078503089035,0.5,1.5
460674.96670000005,4276418.0427,9.189352268786857,9.475473778785952,6.38012605118326,0.5,1.5
460674.49226,4276417.1764,9.554462253128047,9.279987340484377,6.500036152211843,0.5,1.5
460674.00839,4276416.3033,9.53083274445681,9.415669248455723,6.65856678412995,0.5,1.5
460673.51491,4276415.4234,9.473477508999125,9.434406679046035,6.719679245711115,0.5,1.5
460673.02222,4276414.5453,9.552119926255223,9.505194058889357,6.751820455765271,0.5,1.5
460672.53024000005,4276413.6688,9.455258669147886,9.540038867904212,6.778577771451572,0.5,1.5
460672.0390500001,4276412.7941,9.288487578188823,9.599491982898064,6.8193497462955195,0.5,1.5
460671.54793,4276411.9161,9.126973520983658,9.648811116064046,6.869701215532514,0.5,1.5
460671.05669999996,4276411.034700001,9.032018721622391,9.664318715079101,6.969052092007937,0.5,1.5
460670.56555000006,4276410.149900001,8.942825811062445,9.658775147361096,7.015223379483917,0.5,1.5
460670.07351,4276409.2626,8.03882361760071,9.856341111433178,7.120995347693247,0.5,1.5
460669.62448999996,4276408.4514,6.873401468026882,9.800693407198978,7.200795878406894,0.5,1.5
460669.17547,4276407.6401,6.329807094428318,9.68516912092037,7.260109675345082,0.5,1.5
460668.72654,4276406.8288,6.284602821085123,9.568278300867487,7.282834483270081,0.5,1.5
460668.27725,4276406.0142,6.070347592096745,9.513024109759494,7.354519173911762,0.5,1.5
460667.8275,4276405.1964,6.0283331561539155,9.426788556435254,7.4066267601538325,0.5,1.5
460667.37739000004,4276404.3752999995,6.005745729039034,9.319203273913828,7.455229354051379,0.5,1.5
460666.92859,4276403.5564,5.959975273076903,9.144597671861595,7.480185330301901,0.5,1.5
460666.4812,4276402.7398,5.908370923227884,9.130623700162728,7.4716549438717,0.5,1.5
460666.03512,4276401.925399999,5.683419858834928,9.133476142117512,7.5268282783192575,0.5,1.5
460665.5878,4276401.104900001,5.559990775900034,9.127213298530295,7.571913776626899,0.5,1.5
460665.13931999996,4276400.2782000005,5.625829805270164,9.25653039311258,7.580636648981173,0.5,1.5
460664.68958999997,4276399.445499999,5.9424487567458355,9.160933845972483,7.557687107645732,0.5,1.5
460664.23615000007,4276398.601899999,5.648991848606458,9.270255624585017,7.614606475012541,0.5,1.5
460663.77945,4276397.7507,5.5822440488166,9.297889069575772,7.596281404539366,0.5,1.5
460663.31950000004,4276396.8919,5.524280185199795,9.238663650529244,7.581909840378934,0.5,1.5
460662.86145,4276396.032,5.598715283114663,9.094723290645039,7.495062513667857,0.5,1.5
460662.40372,4276395.1654,4.9794737833087614,8.973989076629486,7.499499586806997,0.5,1.5
460661.94622,4276394.2922,4.990504989137647,8.738076822178568,7.427219659984747,0.5,1.5
460661.49737999996,4276393.427499999,5.18101555941368,8.673042564452516,7.295492790102253,0.5,1.5
460661.05967,4276392.5797,5.141175379715241,8.679792982027918,7.236919518555343,0.5,1.5
