Z_bin,param,elm_id,region,cellType,X,Y,Z,Resistivity(ohm.m),Resistivity(log10),Sensitivity(log10),Scaled_Sensitivity(log10),Conductivity(mS/m),eX,eY,source,eX_index,filtered_row_index,x,y
-3.0,216.0,216.0,1.0,5.0,8.858866666666666,0.0,-3.01786,1.25639,0.09913,-1.86056,0.00382,795.9311997070973,7,12,3,0,3,478702.0817612583,3617390.031845042
-2.7,177.0,177.0,1.0,5.0,8.836256666666666,0.0,-2.719716666666667,1.25447,0.09846,-1.90318,0.0005,797.1493937678861,7,12,3,0,3,478702.0817612583,3617390.031845042
-2.6,412.0,412.0,1.0,5.0,9.05371,0.0,-2.5550633333333335,1.24047,0.09359,-1.81388,0.1858,806.1460575427056,7,12,3,0,3,478702.0817612583,3617390.031845042
-2.3000000000000003,774.0,774.0,1.0,5.0,9.022946666666666,0.0,-2.2714333333333334,4.78545,0.67992,-3.01194,-0.87738,208.96676383621184,7,12,3,0,3,478702.0817612583,3617390.031845042
-1.8,371.0,371.0,1.0,5.0,9.002766666666666,0.0,-1.7545733333333333,0.97695,-0.01013,-0.79542,1.38594,1023.5938379650954,7,12,3,0,3,478702.0817612583,3617390.031845042
-1.5,280.0,280.0,1.0,5.0,8.994416666666666,0.0,-1.5098099999999999,0.7204,-0.14242,-0.59967,1.64255,1388.1177123820098,7,12,3,0,3,478702.0817612583,3617390.031845042
-1.4000000000000001,184.0,184.0,1.0,5.0,9.19985,0.0,-1.3845266666666667,0.70017,-0.15479,-0.4682,1.79018,1428.2245740320209,7,12,3,0,3,478702.0817612583,3617390.031845042
-1.2000000000000002,141.0,141.0,1.0,5.0,9.178973333333333,0.0,-1.1519566666666667,0.57158,-0.24292,-0.33524,1.95536,1749.536372861192,7,12,3,0,3,478702.0817612583,3617390.031845042
-1.0,374.0,374.0,1.0,5.0,8.971686666666665,0.0,-1.0246899999999999,0.52988,-0.27582,-0.13404,2.19412,1887.2197478674416,7,12,3,0,3,478702.0817612583,3617390.031845042
-0.8,185.0,185.0,1.0,5.0,8.978303333333335,0.0,-0.7987566666666667,0.51841,-0.28533,-0.25431,2.23072,1928.9751355105032,7,12,3,0,3,478702.0817612583,3617390.031845042
-0.7000000000000001,236.0,236.0,1.0,5.0,9.008883333333333,0.0,-0.680335,0.51412,-0.289275,-0.30406,2.30004,1948.078513447886,7,12,3,0,3,478702.0817612583,3617390.031845042
-0.5,403.0,403.0,1.0,5.0,9.026773333333333,0.0,-0.4719933333333334,0.5593,-0.252695,-0.419305,2.3397249999999996,1790.76293554925,7,12,3,0,3,478702.0817612583,3617390.031845042
-0.4,206.0,206.0,1.0,5.0,9.014083333333334,0.0,-0.3820733333333333,0.56276,-0.24968,-0.4469,2.2076,1776.9564290283602,7,12,3,0,3,478702.0817612583,3617390.031845042
-0.2,836.0,836.0,1.0,5.0,9.012373333333333,0.0,-0.18345666666666668,0.67989,-0.16756,-0.69165,2.103,1470.8261630557884,7,12,3,0,3,478702.0817612583,3617390.031845042
-0.1,699.5,699.5,1.0,5.0,9.006186666666668,0.0,-0.09172833333333333,0.671605,-0.17362,0.77517,3.54447,1493.9967493221852,7,12,3,0,3,478702.0817612583,3617390.031845042
-5.0,411.0,411.0,1.0,5.0,9.01674,0.0,-5.038876666666666,1.3128,0.1182,-2.1739,-1.03045,761.7306520414381,7,12,4,0,4,478704.0664510666,3617388.431344875
-4.6000000000000005,105.0,105.0,1.0,5.0,9.086263333333335,0.0,-4.633253333333333,1.30719,0.11634,-2.3427,-0.99014,764.9997322500936,7,12,4,0,4,478704.0664510666,3617388.431344875
-4.4,98.0,98.0,1.0,5.0,8.85889,0.0,-4.406376666666667,1.30497,0.1156,-2.4283,-0.7647,766.301141022399,7,12,4,0,4,478704.0664510666,3617388.431344875
-4.1000000000000005,410.0,410.0,1.0,5.0,9.096456666666667,0.0,-4.067623333333334,1.30075,0.11419,-2.37425,-0.64277,768.787238131847,7,12,4,0,4,478704.0664510666,3617388.431344875
-3.8000000000000003,240.0,240.0,1.0,5.0,8.9778,0.0,-3.8245566666666666,1.29854,0.11345,-2.05585,-0.49673,770.0956458792182,7,12,4,0,4,478704.0664510666,3617388.431344875
-3.5,693.0,693.0,1.0,5.0,9.124113333333334,0.0,-3.478803333333333,1.29311,0.11164,-2.08716,-0.35078,773.3294151309633,7,12,4,0,4,478704.0664510666,3617388.431344875
-3.3000000000000003,762.0,762.0,1.0,5.0,8.887123333333335,0.0,-3.258736666666666,1.29573,0.11252,-1.92763,-0.07053,771.7657227971877,7,12,4,0,4,478704.0664510666,3617388.431344875
-2.9000000000000004,666.0,666.0,1.0,5.0,8.914093333333334,0.0,-2.94516,1.29335,0.11172,-1.83176,-0.07223,773.1859125526732,7,12,4,0,4,478704.0664510666,3617388.431344875
-2.8000000000000003,575.0,575.0,1.0,5.0,9.19553,0.0,-2.8065700000000002,1.2834,0.10836,-1.36649,0.36182,779.1803023219572,7,12,4,0,4,478704.0664510666,3617388.431344875
-2.3000000000000003,381.0,381.0,1.0,5.0,8.91453,0.0,-2.2892200000000003,4.47495,0.65079,-1.98423,-0.24442,223.46618397970929,7,12,4,0,4,478704.0664510666,3617388.431344875
-2.0,53.0,53.0,1.0,5.0,8.853226666666666,0.0,-2.0108566666666667,1.59065,0.20158,-1.32263,0.6815,628.6738125923365,7,12,4,0,4,478704.0664510666,3617388.431344875
-1.8,13.0,13.0,1.0,5.0,9.001890000000001,0.0,-1.8187200000000001,0.9608,-0.01737,-0.8666,1.14625,1040.7993338884264,7,12,4,0,4,478704.0664510666,3617388.431344875
-1.6,809.0,809.0,1.0,5.0,8.82002,0.0,-1.5820433333333332,0.72243,-0.1412,-0.68327,1.58326,1384.2171559874312,7,12,4,0,4,478704.0664510666,3617388.431344875
-1.4000000000000001,496.0,496.0,1.0,5.0,8.891150000000001,0.0,-1.3650666666666667,0.58901,-0.22988,-0.246,1.86982,1697.76404475306,7,12,4,0,4,478704.0664510666,3617388.431344875
-1.3,552.0,552.0,1.0,5.0,9.14742,0.0,-1.3235666666666668,0.56885,-0.245,-0.24315,1.85162,1757.932671178694,7,12,4,0,4,478704.0664510666,3617388.431344875
-0.9,398.5,398.5,1.0,5.0,8.928374999999999,0.0,-0.9031666666666667,0.52414,-0.28067,0.061145000000000005,2.22189,1908.9129617273684,7,12,4,0,4,478704.0664510666,3617388.431344875
-0.6000000000000001,41.0,41.0,1.0,5.0,9.134826666666667,0.0,-0.6200733333333334,0.53683,-0.27017,0.06903,2.20675,1862.7871020621053,7,12,4,0,4,478704.0664510666,3617388.431344875
-0.5,176.0,176.0,1.0,5.0,8.970590000000001,0.0,-0.45979333333333333,0.5639,-0.2488,-0.02125,2.25151,1773.3640716439086,7,12,4,0,4,478704.0664510666,3617388.431344875
-0.2,611.0,611.0,1.0,5.0,9.004036666666666,0.0,-0.22694666666666666,0.66974,-0.17409,-0.13418,2.20163,1493.1167318660973,7,12,4,0,4,478704.0664510666,3617388.431344875
-0.1,526.0,526.0,1.0,5.0,9.002018333333334,0.0,-0.11347333333333333,0.67393,-0.17318,0.941415,3.33212,1496.1353535985293,7,12,4,0,4,478704.0664510666,3617388.431344875
-5.1000000000000005,421.0,421.0,1.0,5.0,8.97472,0.0,-5.1047166666666675,1.23039,0.09004,-2.52142,-1.11146,812.7504287258511,7,12,5,0,5,478701.2302198598,3617387.695811811
-4.7,581.0,581.0,1.0,5.0,8.945943333333334,0.0,-4.716693333333334,1.22666,0.08872,-2.55724,-1.11483,815.2218218577274,7,12,5,0,5,478701.2302198598,3617387.695811811
-4.1000000000000005,775.0,775.0,1.0,5.0,9.19391,0.0,-4.138573333333333,1.21679,0.08522,-2.47111,-0.79855,821.8344989685977,7,12,5,0,5,478701.2302198598,3617387.695811811
-4.0,365.0,365.0,1.0,5.0,8.895116666666667,0.0,-3.989410000000001,1.21985,0.08631,-2.186,-0.54996,819.7729229003565,7,12,5,0,5,478701.2302198598,3617387.695811811
-3.7,277.0,277.0,1.0,5.0,8.884423333333334,0.0,-3.6516866666666665,1.21689,0.08525,-2.23639,-0.55337,821.7669633245404,7,12,5,0,5,478701.2302198598,3617387.695811811
-3.5,368.0,368.0,1.0,5.0,9.163756666666666,0.0,-3.4778766666666665,1.20803,0.08208,-1.98709,-0.24423,827.7940117381191,7,12,5,0,5,478701.2302198598,3617387.695811811
-3.2,279.0,279.0,1.0,5.0,9.13874,0.0,-3.1630900000000004,1.20384,0.08057,-2.04876,-0.24958,830.6751727804359,7,12,5,0,5,478701.2302198598,3617387.695811811
-3.0,216.0,216.0,1.0,5.0,8.858866666666666,0.0,-3.01786,1.21264,0.08373,-1.87064,-0.00626,824.6470510621455,7,12,5,0,5,478701.2302198598,3617387.695811811
-2.7,177.0,177.0,1.0,5.0,8.836256666666666,0.0,-2.719716666666667,1.21168,0.08339,-1.91348,-0.0098,825.300409349003,7,12,5,0,5,478701.2302198598,3617387.695811811
-2.6,412.0,412.0,1.0,5.0,9.05371,0.0,-2.5550633333333335,1.19663,0.07796,-1.81892,0.18076,835.6802019003367,7,12,5,0,5,478701.2302198598,3617387.695811811
-2.3000000000000003,774.0,774.0,1.0,5.0,9.022946666666666,0.0,-2.2714333333333334,4.58957,0.66177,-3.01254,-0.87798,217.88533566325384,7,12,5,0,5,478701.2302198598,3617387.695811811
