x,y,PRP1.1,PRP1.1_inph,PRP2.1,PRP2.1_inph,HCP1.0,HCP1.0_inph,PRP4.1,PRP4.1_inph,HCP2.0,HCP2.0_inph,HCP4.0,HCP4.0_inph
448582.8005589181,4177554.8099132143,460.790007362238,-1.36,557.829577496333,-3.17,557.1027660245999,0.62,493.4025777007377,-0.11,488.4959983167916,4.35,383.4426657261282,25.4
448583.2712405023,4177555.406124624,481.740552205035,-1.35,554.5928866971477,-3.15,560.5976139134564,0.64,485.3270853749643,-0.76,464.0957075820847,4.31,426.02486930174683,25.87
448583.4429944829,4177556.104057651,499.6927843101483,-1.33,561.4412767927895,-3.06,555.6250748587423,0.64,470.8626328278881,-0.84,449.0754073477398,4.28,427.35957296489454,25.66
448583.6574163434,4177556.5798186194,531.2436077260633,-1.32,579.399379227685,-2.99,574.2020187851389,0.62,459.8082984004458,-1.22,432.2467784514877,4.2,389.85832790043673,25.0
448583.5197721812,4177557.113251309,530.4200308382455,-1.31,593.6447695679219,-2.93,572.4484392954222,0.62,454.6325121079123,-1.08,427.70342962349247,4.08,341.16183436097504,24.29
448583.472721459,4177558.045549961,557.7499545670369,-1.31,609.1684795937625,-2.86,578.5216861053358,0.6,456.62181069888675,-1.3,424.3046932601269,3.99,304.22918437752173,23.6
448583.5474237627,4177558.721897533,558.9866939195449,-1.32,618.572375267581,-2.81,585.144888154755,0.6,466.32788209516116,-0.93,430.94731266615486,4.11,283.5136927695336,23.2
448583.49905864574,4177559.443393666,551.5671827649614,-1.31,613.6809789519878,-2.79,570.9652217098674,0.62,474.7376305958657,-0.45,439.4134183630913,4.15,281.32261063020815,23.23
448583.3794502099,4177560.043285709,531.5181394483376,-1.34,585.7691934260587,-2.91,545.8321319364244,0.61,469.79482286485654,-0.54,420.26836437993046,4.13,271.71023417563356,22.8
448584.4586643199,4177560.7355605513,512.0339587389781,-1.36,563.3100363583417,-3.11,535.2608844618968,0.57,463.9307701740938,-0.65,397.0662735943197,3.93,270.2855207034321,22.73
448584.8507445939,4177561.443215148,473.93336062587446,-1.38,554.3439646787097,-3.11,536.3301302099336,0.57,454.6325121079123,-0.8,404.06943022576195,4.0,286.20568498024664,22.55
448584.9794845285,4177562.307845922,445.05462147257765,-1.39,540.168196941879,-3.13,519.6557015468976,0.57,444.4479914464765,-0.93,420.26836437993046,4.0,284.24619231414414,22.41
448584.92265490914,4177563.08487133,423.99869716549995,-1.39,517.5887088460695,-3.21,501.59317006883055,0.57,437.33263771842195,-1.12,418.17366981273767,3.96,281.8086924257279,22.0
448584.8031847865,4177563.7069530953,399.00124766385807,-1.4,501.9941227466456,-3.32,494.04751829311846,0.51,435.885933305794,-1.66,418.65680627699896,3.71,296.63332893736344,21.69
448584.851663605,4177564.416750091,369.2562786535327,-1.42,482.2354158906817,-3.36,475.1816777842552,0.46,427.6179170542585,-2.15,420.1071321814411,3.42,310.91579595025684,21.48
448584.8658697467,4177565.282094996,345.5409788607541,-1.44,455.63893047109343,-3.47,451.0432594339548,0.41,415.8583212867873,-2.89,416.4034753953112,3.26,325.6566172797557,21.0
448584.9684554767,4177566.191270053,339.2752922174616,-1.44,439.6747370508487,-3.52,443.33597024453786,0.4,408.5718125450934,-3.13,401.9969277443808,3.21,330.7672437480014,20.9
448584.9189142734,4177566.7241533976,343.77007698596486,-1.45,434.0335829408055,-3.52,432.65071248627686,0.39,400.27289061790316,-3.4,380.9564418898751,3.18,331.0376698475045,20.83
448584.8959422936,4177567.279061685,342.8165680675005,-1.45,430.84688636080364,-3.53,427.05986271141063,0.4,390.07057867358003,-3.57,371.40498910429113,3.23,331.8504162910418,20.66
448584.9963143183,4177567.833200911,329.33524858978126,-1.45,429.7440987819953,-3.46,431.34975247073015,0.41,383.3800977020827,-3.7,379.0725814695452,3.18,335.66185229291756,20.52
448585.1318582954,4177568.376025536,319.94362080651496,-1.47,427.53898588832186,-3.66,424.85188559907266,0.44,380.81208698019844,-4.3,389.1475689202522,3.25,334.2968533082674,20.32
448585.2842618762,4177568.796696732,317.2220924427342,-1.5,416.5226610512148,-3.87,412.149694620499,0.39,376.96552262236855,-5.36,389.6215111827697,3.03,333.20780524830104,19.87
448585.4555311946,4177569.4169657226,310.82770874057604,-1.52,401.4918916079159,-3.92,400.7817850622113,0.38,372.99759411374686,-5.41,373.9043100136178,2.92,326.4597448950518,19.62
448585.8123006763,4177570.113745231,329.7436630460949,-1.47,408.9425876416541,-3.54,406.46121483273487,0.43,375.5567515767735,-4.2,366.26353573402685,3.03,333.480001185128,19.55
448586.1243961031,4177570.710945584,327.97391690411365,-1.47,410.40912918905497,-3.68,405.81536882837054,0.4,371.4634877821358,-5.18,359.5910819213526,2.86,334.2968533082674,19.36
448586.32181946415,4177571.286670317,328.92684103388194,-1.49,410.6535793478133,-3.92,401.03974425639194,0.38,364.31805152961846,-5.89,360.8301576003485,2.87,329.6866009010429,19.03
448586.394861223,4177571.696741049,345.26852399127756,-1.48,413.58757343042987,-3.81,403.7494473633677,0.39,361.77157354219133,-5.76,358.0437212981336,2.98,321.3964515658046,18.64
448586.5229091034,4177572.450423157,345.26852399127756,-1.46,410.89803709790016,-3.7,407.6240321302866,0.39,358.719583437141,-5.76,351.2548957152377,2.85,310.91579595025684,18.19
448586.5115835196,4177573.460166177,369.9380953642155,-1.45,423.37545375974145,-3.73,413.18493394111937,0.43,359.73645539914753,-5.79,341.8957167238212,2.87,298.64668345583743,17.95
448586.2524633208,4177574.2939293617,373.07469863998966,-1.49,424.11003501872176,-3.96,409.17504379814466,0.39,350.8543144814271,-6.75,329.4104595370045,2.71,280.1098308884809,17.38
448586.3004577418,4177574.9260622864,375.6661109978504,-1.5,421.9064965302215,-4.0,404.52402754213324,0.36,340.367744453151,-7.08,314.03285462711324,2.57,253.75876814634918,16.64
448586.3400569344,4177575.6248193625,378.12138800607045,-1.52,422.88577093914114,-4.04,390.99325552872955,0.35,333.19428335557177,-7.37,298.3790968549902,2.48,227.99372936328658,16.15
448586.2572807101,4177576.479673661,368.98355732645643,-1.5,417.5012666698938,-3.98,396.0129253515179,0.36,331.68698881268966,-7.42,303.42842352537343,2.57,220.92700126427573,15.8
448586.02265452815,4177577.0026157065,375.93890731347835,-1.48,423.2530302033855,-3.84,394.59639636094835,0.4,336.33772548750835,-6.8,302.3873305620412,2.69,218.1735097604361,15.8
448585.93711129576,4177577.4136752128,373.48385064887475,-1.49,420.4378129718157,-3.84,378.9240641537547,0.38,337.97405122527454,-6.99,309.54215756939095,2.58,217.54079028865996,15.46
448585.904222195,4177577.791120519,355.4876784407939,-1.51,394.1702193442716,-3.97,364.7261599470272,0.35,332.31490553660313,-7.15,297.7862849490316,2.44,215.85726673687262,15.18
448585.6974104349,4177578.535795176,342.13551325385527,-1.54,375.4091209539053,-4.16,342.2084582839261,0.32,325.04182324610366,-8.03,272.2482160881555,2.29,211.88447389148675,14.71
448585.3993138257,4177578.77065515,305.1150128914961,-1.56,364.2225818226467,-4.2,349.06224271220066,0.31,320.0395753880994,-8.07,279.975518258661,2.2,230.59162439629895,14.73
448585.2955966787,4177579.093065569,289.48003879610303,-1.54,367.0177183235349,-4.14,360.13407257367004,0.31,318.2914159924978,-8.24,297.1937310603006,2.21,247.4032394270227,14.63
448585.39472336194,4177579.447497149,268.42289196352453,-1.55,363.12910452733723,-4.17,357.2034942074933,0.29,313.1796201956241,-8.35,317.1850200351457,2.24,254.21596313408824,14.65
448585.5452589579,4177579.568606865,256.0689185350382,-1.55,350.86833667483637,-4.13,347.156997036715,0.29,310.06837487408325,-8.3,330.0169508344917,2.24,257.2003542067177,14.52
448585.7929150847,4177579.7223969386,277.2510595035093,-1.54,352.08141630438615,-4.04,343.7303000395538,0.3,315.29773317327255,-8.1,327.59254956242853,2.19,257.66147453233236,14.41
448586.1984643531,4177579.764249549,295.05308187345935,-1.51,350.26186752103644,-3.91,339.67360972396784,0.34,316.29518408979976,-7.72,314.632715818183,2.27,260.9008168471505,14.24
448586.43793277134,4177580.017948403,294.64525444798136,-1.5,341.6550874167736,-3.91,336.50778583453155,0.3,312.930561781414,-7.75,299.12047476302297,2.13,261.5980546824288,14.07
448586.50091902015,4177580.228366413,296.82041392829655,-1.5,336.32607103539823,-3.96,329.9326408576727,0.3,303.9828232617801,-7.82,278.36803109925063,2.17,262.29616320626087,13.82
448586.3970634982,4177580.528587079,304.4350202422371,-1.5,339.23235561786134,-3.94,328.6697064892876,0.3,295.9355670503268,-8.17,264.13245921050236,2.07,255.59114901664532,13.64
448586.2569292545,4177580.662604426,301.71524157166823,-1.53,341.5339329462994,-4.1,336.12809161501696,0.27,287.4246303010959,-8.86,261.1020011464704,2.0,248.30564231607715,13.33
448586.21460729744,4177580.9402508345,294.10149530094185,-1.56,346.86651064368914,-4.32,344.87213983474487,0.29,280.1727704844548,-9.84,263.41028110386196,2.02,233.42296069635617,12.88
448586.2062812589,4177581.017969855,290.1596090547081,-1.55,351.47485293393976,-4.09,338.02700143762297,0.29,276.9844949258579,-9.16,265.86732012510305,2.01,219.65419970410733,12.57
